"case"	"alternative"	"choice"	"distance"	"cost"	"intime"	"outtime"	"income"	"urban"
133	"air"	1	365	151.2	56	77	55	1
133	"bus"	0	365	27.82	301	83	55	1
133	"car"	0	365	69.35	245	0	55	1
134	"train"	0	365	60.85	237	94	55	1
134	"air"	1	365	151.2	56	77	55	1
134	"bus"	0	365	27.82	301	83	55	1
134	"car"	0	365	69.35	245	0	55	1
135	"train"	0	365	60.85	237	94	70	1
135	"air"	1	365	151.2	56	77	70	1
135	"bus"	0	365	27.82	301	83	70	1
135	"car"	0	365	69.35	245	0	70	1
136	"train"	0	365	60.85	237	94	70	1
136	"air"	0	365	151.2	56	77	70	1
136	"bus"	0	365	27.82	301	83	70	1
136	"car"	1	365	69.35	245	0	70	1
137	"train"	0	365	60.85	237	94	45	1
137	"air"	0	365	151.2	56	77	45	1
137	"bus"	0	365	27.82	301	83	45	1
137	"car"	1	365	69.35	245	0	45	1
138	"train"	0	365	60.85	237	94	70	1
138	"air"	0	365	151.2	56	77	70	1
138	"bus"	0	365	27.82	301	83	70	1
138	"car"	1	365	69.35	245	0	70	1
139	"train"	1	354	59	237	69	35	1
139	"air"	0	354	155.8	56	97	35	1
139	"bus"	0	354	27.34	301	68	35	1
139	"car"	0	354	67.26	231	0	35	1
140	"train"	1	354	59	237	69	15	1
140	"air"	0	354	155.8	56	97	15	1
140	"bus"	0	354	27.34	301	68	15	1
140	"car"	0	354	67.26	231	0	15	1
141	"train"	1	354	59	237	69	55	1
141	"air"	0	354	155.8	56	97	55	1
141	"bus"	0	354	27.34	301	68	55	1
141	"car"	0	354	67.26	231	0	55	1
142	"train"	1	354	59	237	69	70	1
142	"air"	0	354	155.8	56	97	70	1
142	"bus"	0	354	27.34	301	68	70	1
142	"car"	0	354	67.26	231	0	70	1
143	"train"	1	354	59	237	69	70	1
143	"air"	0	354	155.8	56	97	70	1
143	"bus"	0	354	27.34	301	68	70	1
143	"car"	0	354	67.26	231	0	70	1
144	"train"	1	354	59	237	69	45	1
144	"air"	0	354	155.8	56	97	45	1
144	"bus"	0	354	27.34	301	68	45	1
144	"car"	0	354	67.26	231	0	45	1
145	"train"	1	354	59	237	69	70	1
145	"air"	0	354	155.8	56	97	70	1
145	"bus"	0	354	27.34	301	68	70	1
145	"car"	0	354	67.26	231	0	70	1
146	"train"	1	354	59	237	69	35	1
146	"air"	0	354	155.8	56	97	35	1
146	"bus"	0	354	27.34	301	68	35	1
146	"car"	0	354	67.26	231	0	35	1
147	"train"	1	354	59	237	69	70	1
147	"air"	0	354	155.8	56	97	70	1
147	"bus"	0	354	27.34	301	68	70	1
147	"car"	0	354	67.26	231	0	70	1
148	"train"	1	354	59	237	69	45	1
148	"air"	0	354	155.8	56	97	45	1
148	"bus"	0	354	27.34	301	68	45	1
148	"car"	0	354	67.26	231	0	45	1
149	"train"	0	354	59	237	69	70	1
149	"air"	1	354	155.8	56	97	70	1
149	"bus"	0	354	27.34	301	68	70	1
149	"car"	0	354	67.26	231	0	70	1
150	"train"	0	354	59	237	69	70	1
150	"air"	1	354	155.8	56	97	70	1
150	"bus"	0	354	27.34	301	68	70	1
150	"car"	0	354	67.26	231	0	70	1
151	"train"	0	354	59	237	69	70	1
151	"air"	1	354	155.8	56	97	70	1
151	"bus"	0	354	27.34	301	68	70	1
151	"car"	0	354	67.26	231	0	70	1
152	"train"	0	354	59	237	69	70	1
152	"air"	1	354	155.8	56	97	70	1
152	"bus"	0	354	27.34	301	68	70	1
152	"car"	0	354	67.26	231	0	70	1
153	"train"	0	354	59	237	69	70	1
153	"air"	1	354	155.8	56	97	70	1
153	"bus"	0	354	27.34	301	68	70	1
153	"car"	0	354	67.26	231	0	70	1
154	"train"	0	354	59	237	69	70	1
154	"air"	1	354	155.8	56	97	70	1
154	"bus"	0	354	27.34	301	68	70	1
154	"car"	0	354	67.26	231	0	70	1
155	"train"	0	354	59	237	69	55	1
155	"air"	1	354	155.8	56	97	55	1
155	"bus"	0	354	27.34	301	68	55	1
155	"car"	0	354	67.26	231	0	55	1
156	"train"	0	354	59	237	69	70	1
156	"air"	1	354	155.8	56	97	70	1
156	"bus"	0	354	27.34	301	68	70	1
156	"car"	0	354	67.26	231	0	70	1
157	"train"	0	354	59	237	69	55	1
157	"air"	1	354	155.8	56	97	55	1
157	"bus"	0	354	27.34	301	68	55	1
157	"car"	0	354	67.26	231	0	55	1
158	"train"	0	354	59	237	69	70	1
158	"air"	1	354	155.8	56	97	70	1
158	"bus"	0	354	27.34	301	68	70	1
158	"car"	0	354	67.26	231	0	70	1
159	"train"	0	354	59	237	69	35	1
159	"air"	0	354	155.8	56	97	35	1
159	"bus"	0	354	27.34	301	68	35	1
159	"car"	1	354	67.26	231	0	35	1
160	"train"	0	354	59	237	69	55	1
160	"air"	0	354	155.8	56	97	55	1
160	"bus"	0	354	27.34	301	68	55	1
160	"car"	1	354	67.26	231	0	55	1
161	"train"	0	354	59	237	69	70	1
161	"air"	0	354	155.8	56	97	70	1
161	"bus"	0	354	27.34	301	68	70	1
161	"car"	1	354	67.26	231	0	70	1
162	"train"	0	354	59	237	69	70	1
162	"air"	0	354	155.8	56	97	70	1
162	"bus"	0	354	27.34	301	68	70	1
162	"car"	1	354	67.26	231	0	70	1
163	"train"	0	354	59	237	69	70	1
163	"air"	0	354	155.8	56	97	70	1
163	"bus"	0	354	27.34	301	68	70	1
163	"car"	1	354	67.26	231	0	70	1
164	"train"	0	354	59	237	69	35	1
164	"air"	0	354	155.8	56	97	35	1
164	"bus"	0	354	27.34	301	68	35	1
164	"car"	1	354	67.26	231	0	35	1
165	"train"	0	354	59	237	69	31	1
165	"air"	0	354	155.8	56	97	31	1
165	"bus"	0	354	27.34	301	68	31	1
165	"car"	1	354	67.26	231	0	31	1
166	"train"	0	354	59	237	69	25	1
166	"air"	0	354	155.8	56	97	25	1
166	"bus"	0	354	27.34	301	68	25	1
166	"car"	1	354	67.26	231	0	25	1
167	"train"	0	354	59	237	69	25	1
167	"air"	0	354	155.8	56	97	25	1
167	"bus"	0	354	27.34	301	68	25	1
167	"car"	1	354	67.26	231	0	25	1
168	"train"	1	362	61.35	237	94	15	1
168	"air"	0	362	152.65	56	93	15	1
168	"bus"	0	362	27.27	301	83	15	1
168	"car"	0	362	68.78	242	0	15	1
169	"train"	1	362	61.35	237	94	15	1
169	"air"	0	362	152.65	56	93	15	1
169	"bus"	0	362	27.27	301	83	15	1
169	"car"	0	362	68.78	242	0	15	1
170	"train"	0	362	61.35	237	94	70	1
170	"air"	1	362	152.65	56	93	70	1
170	"bus"	0	362	27.27	301	83	70	1
170	"car"	0	362	68.78	242	0	70	1
171	"train"	0	362	61.35	237	94	55	1
171	"air"	1	362	152.65	56	93	55	1
171	"bus"	0	362	27.27	301	83	55	1
171	"car"	0	362	68.78	242	0	55	1
172	"train"	0	362	61.35	237	94	70	1
172	"air"	1	362	152.65	56	93	70	1
172	"bus"	0	362	27.27	301	83	70	1
172	"car"	0	362	68.78	242	0	70	1
173	"train"	0	362	61.35	237	94	70	1
173	"air"	1	362	152.65	56	93	70	1
173	"bus"	0	362	27.27	301	83	70	1
173	"car"	0	362	68.78	242	0	70	1
174	"train"	0	362	61.35	237	94	70	1
174	"air"	1	362	152.65	56	93	70	1
174	"bus"	0	362	27.27	301	83	70	1
174	"car"	0	362	68.78	242	0	70	1
175	"train"	0	362	61.35	237	94	25	1
175	"air"	0	362	152.65	56	93	25	1
175	"bus"	0	362	27.27	301	83	25	1
175	"car"	1	362	68.78	242	0	25	1
176	"train"	0	362	61.35	237	94	70	1
176	"air"	0	362	152.65	56	93	70	1
176	"bus"	0	362	27.27	301	83	70	1
176	"car"	1	362	68.78	242	0	70	1
177	"train"	0	362	61.35	237	94	45	1
177	"air"	0	362	152.65	56	93	45	1
177	"bus"	0	362	27.27	301	83	45	1
177	"car"	1	362	68.78	242	0	45	1
178	"train"	0	362	61.35	237	94	55	1
178	"air"	0	362	152.65	56	93	55	1
178	"bus"	0	362	27.27	301	83	55	1
178	"car"	1	362	68.78	242	0	55	1
179	"train"	0	362	61.35	237	94	55	1
179	"air"	0	362	152.65	56	93	55	1
179	"bus"	0	362	27.27	301	83	55	1
179	"car"	1	362	68.78	242	0	55	1
180	"train"	0	362	61.35	237	94	70	1
180	"air"	0	362	152.65	56	93	70	1
180	"bus"	0	362	27.27	301	83	70	1
180	"car"	1	362	68.78	242	0	70	1
181	"train"	1	365	60.85	237	94	45	1
181	"air"	0	365	154.45	56	99	45	1
181	"bus"	0	365	27.42	301	86	45	1
181	"car"	0	365	69.35	245	0	45	1
182	"train"	1	365	60.85	237	94	70	1
182	"air"	0	365	154.45	56	99	70	1
182	"bus"	0	365	27.42	301	86	70	1
182	"car"	0	365	69.35	245	0	70	1
183	"train"	0	365	60.85	237	94	70	1
183	"air"	1	365	154.45	56	99	70	1
183	"bus"	0	365	27.42	301	86	70	1
183	"car"	0	365	69.35	245	0	70	1
184	"train"	0	365	60.85	237	94	70	1
184	"air"	1	365	154.45	56	99	70	1
184	"bus"	0	365	27.42	301	86	70	1
184	"car"	0	365	69.35	245	0	70	1
185	"train"	0	365	60.85	237	94	25	1
185	"air"	0	365	154.45	56	99	25	1
185	"bus"	0	365	27.42	301	86	25	1
185	"car"	1	365	69.35	245	0	25	1
186	"train"	0	365	60.85	237	94	45	1
186	"air"	0	365	154.45	56	99	45	1
186	"bus"	0	365	27.42	301	86	45	1
186	"car"	1	365	69.35	245	0	45	1
187	"train"	0	365	60.85	237	94	70	1
187	"air"	0	365	154.45	56	99	70	1
187	"bus"	0	365	27.42	301	86	70	1
187	"car"	1	365	69.35	245	0	70	1
188	"train"	0	365	60.85	237	94	25	1
188	"air"	0	365	154.45	56	99	25	1
188	"bus"	0	365	27.42	301	86	25	1
188	"car"	1	365	69.35	245	0	25	1
189	"train"	0	365	60.85	237	94	45	1
189	"air"	0	365	154.45	56	99	45	1
189	"bus"	0	365	27.42	301	86	45	1
189	"car"	1	365	69.35	245	0	45	1
190	"train"	0	377	61.85	237	108	45	0
190	"air"	0	377	146.2	56	84	45	0
190	"bus"	0	377	26.67	301	88	45	0
190	"car"	1	377	71.63	262	0	45	0
191	"train"	0	380	62.85	237	112	70	0
191	"air"	1	380	154.2	56	104	70	0
191	"bus"	0	380	31.67	301	93	70	0
191	"car"	0	380	72.2	265	0	70	0
192	"train"	0	380	62.85	237	112	70	0
192	"air"	1	380	154.2	56	104	70	0
192	"bus"	0	380	31.67	301	93	70	0
192	"car"	0	380	72.2	265	0	70	0
193	"train"	0	380	62.85	237	112	45	0
193	"air"	0	380	154.2	56	104	45	0
193	"bus"	0	380	31.67	301	93	45	0
193	"car"	1	380	72.2	265	0	45	0
194	"train"	0	380	62.85	237	112	35	0
194	"air"	0	380	154.2	56	104	35	0
194	"bus"	0	380	31.67	301	93	35	0
194	"car"	1	380	72.2	265	0	35	0
195	"train"	0	380	62.85	237	112	70	0
195	"air"	0	380	154.2	56	104	70	0
195	"bus"	0	380	31.67	301	93	70	0
195	"car"	1	380	72.2	265	0	70	0
196	"train"	0	380	61.85	237	94	45	0
196	"air"	0	380	155.2	56	99	45	0
196	"bus"	0	380	26.67	301	83	45	0
196	"car"	1	380	72.2	265	0	45	0
197	"train"	0	409	62.85	237	124	55	0
197	"air"	0	409	150.2	56	114	55	0
197	"bus"	0	409	26.67	301	113	55	0
197	"car"	1	409	77.71	276	0	55	0
198	"train"	0	409	62.85	237	124	70	0
198	"air"	0	409	150.2	56	114	70	0
198	"bus"	0	409	26.67	301	113	70	0
198	"car"	1	409	77.71	276	0	70	0
199	"train"	0	393	62.85	237	112	70	0
199	"air"	0	393	150.2	56	109	70	0
199	"bus"	0	393	26.67	301	103	70	0
199	"car"	1	393	74.67	258	0	70	0
243	"train"	1	355	59	215	85	70	0
243	"air"	0	355	146.9	56	91	70	0
243	"bus"	0	355	30.37	301	79	70	0
243	"car"	0	355	67.45	256	0	70	0
244	"train"	0	355	59	215	85	70	0
244	"air"	0	355	146.9	56	91	70	0
244	"bus"	0	355	30.37	301	79	70	0
244	"car"	1	355	67.45	256	0	70	0
245	"train"	0	343	61.6	237	105	55	1
245	"air"	1	343	155.3	56	83	55	1
245	"bus"	0	343	30.67	301	99	55	1
245	"car"	0	343	65.17	240	0	55	1
246	"train"	1	332	59.75	237	80	70	1
246	"air"	0	332	159.9	56	103	70	1
246	"bus"	0	332	30.19	301	84	70	1
246	"car"	0	332	63.08	226	0	70	1
247	"train"	0	340	62.1	237	105	70	1
247	"air"	1	340	156.75	56	99	70	1
247	"bus"	0	340	30.12	301	99	70	1
247	"car"	0	340	64.6	237	0	70	1
248	"train"	0	340	62.1	237	105	70	1
248	"air"	1	340	156.75	56	99	70	1
248	"bus"	0	340	30.12	301	99	70	1
248	"car"	0	340	64.6	237	0	70	1
249	"train"	0	358	63.6	237	123	35	0
249	"air"	0	358	158.3	56	110	35	0
249	"bus"	0	358	34.52	301	109	35	0
249	"car"	1	358	68.02	260	0	35	0
250	"train"	0	370	63.6	237	135	70	0
250	"air"	1	370	154.3	56	115	70	0
250	"bus"	0	370	29.52	301	129	70	0
250	"car"	0	370	70.3	276	0	70	0
251	"train"	0	387	63.6	237	135	70	0
251	"air"	0	387	154.3	56	120	70	0
251	"bus"	0	387	29.52	301	129	70	0
251	"car"	1	387	73.53	271	0	70	0
271	"train"	0	294	60	215	95	55	0
271	"air"	0	294	146.9	56	111	55	0
271	"bus"	0	294	30.57	301	90	55	0
271	"car"	1	294	55.86	211	0	55	0
272	"train"	1	271	60.75	237	90	70	1
272	"air"	0	271	159.9	56	123	70	1
272	"bus"	0	271	30.39	301	95	70	1
272	"car"	0	271	51.49	181	0	70	1
273	"train"	1	271	60.75	237	90	70	1
273	"air"	0	271	159.9	56	123	70	1
273	"bus"	0	271	30.39	301	95	70	1
273	"car"	0	271	51.49	181	0	70	1
274	"train"	1	271	60.75	237	90	55	1
274	"air"	0	271	159.9	56	123	55	1
274	"bus"	0	271	30.39	301	95	55	1
274	"car"	0	271	51.49	181	0	55	1
275	"train"	0	271	60.75	237	90	70	1
275	"air"	0	271	159.9	56	123	70	1
275	"bus"	0	271	30.39	301	95	70	1
275	"car"	1	271	51.49	181	0	70	1
276	"train"	0	271	60.75	237	90	35	1
276	"air"	0	271	159.9	56	123	35	1
276	"bus"	0	271	30.39	301	95	35	1
276	"car"	1	271	51.49	181	0	35	1
277	"train"	0	279	63.1	237	115	25	1
277	"air"	0	279	156.75	56	119	25	1
277	"bus"	0	279	30.32	301	110	25	1
277	"car"	1	279	53.01	192	0	25	1
285	"train"	1	293	50.75	187	75	70	1
285	"air"	0	293	154.4	50	113	70	1
285	"bus"	0	293	25.71	316	90	70	1
285	"car"	0	293	55.67	199	0	70	1
286	"train"	0	293	50.75	187	75	70	1
286	"air"	0	293	154.4	50	113	70	1
286	"bus"	0	293	25.71	316	90	70	1
286	"car"	1	293	55.67	199	0	70	1
325	"train"	0	293	45.1	165	80	25	0
325	"air"	0	293	135.1	50	76	25	0
325	"bus"	0	293	21.89	316	60	25	0
325	"car"	1	293	55.67	211	0	25	0
326	"train"	0	293	45.1	165	80	70	0
326	"air"	0	293	135.1	50	76	70	0
326	"bus"	0	293	21.89	316	60	70	0
326	"car"	1	293	55.67	211	0	70	0
327	"train"	0	293	45.1	165	80	35	0
327	"air"	0	293	135.1	50	76	35	0
327	"bus"	0	293	21.89	316	60	35	0
327	"car"	1	293	55.67	211	0	35	0
328	"train"	0	293	45.1	165	80	70	0
328	"air"	0	293	135.1	50	76	70	0
328	"bus"	0	293	21.89	316	60	70	0
328	"car"	1	293	55.67	211	0	70	0
329	"train"	1	303	45.1	205	65	70	0
329	"air"	0	303	138.1	50	76	70	0
329	"bus"	0	303	21.04	316	55	70	0
329	"car"	0	303	57.57	200	0	70	0
330	"train"	0	303	45.1	205	65	35	0
330	"air"	0	303	138.1	50	76	35	0
330	"bus"	0	303	21.04	316	55	35	0
330	"car"	1	303	57.57	200	0	35	0
331	"train"	0	303	45.1	205	65	70	0
331	"air"	0	303	138.1	50	76	70	0
331	"bus"	0	303	21.04	316	55	70	0
331	"car"	1	303	57.57	200	0	70	0
332	"train"	0	281	48.5	187	100	55	1
332	"air"	0	281	143.5	50	68	55	1
332	"bus"	0	281	22.19	316	80	55	1
332	"car"	1	281	53.39	195	0	55	1
333	"train"	0	281	48.5	187	100	70	1
333	"air"	0	281	143.5	50	68	70	1
333	"bus"	0	281	22.19	316	80	70	1
333	"car"	1	281	53.39	195	0	70	1
334	"train"	0	281	48.5	187	100	70	1
334	"air"	0	281	143.5	50	68	70	1
334	"bus"	0	281	22.19	316	80	70	1
334	"car"	1	281	53.39	195	0	70	1
335	"train"	0	281	48.5	187	100	35	1
335	"air"	0	281	143.5	50	68	35	1
335	"bus"	0	281	22.19	316	80	35	1
335	"car"	1	281	53.39	195	0	35	1
336	"train"	0	281	48.5	187	100	31	1
336	"air"	0	281	143.5	50	68	31	1
336	"bus"	0	281	22.19	316	80	31	1
336	"car"	1	281	53.39	195	0	31	1
337	"train"	0	270	46.65	187	75	55	1
337	"air"	0	270	148.1	50	88	55	1
337	"bus"	0	270	21.71	316	65	55	1
337	"car"	1	270	51.3	181	0	55	1
338	"train"	0	270	46.65	187	75	35	1
338	"air"	0	270	148.1	50	88	35	1
338	"bus"	0	270	21.71	316	65	35	1
338	"car"	1	270	51.3	181	0	35	1
339	"train"	0	270	46.65	187	75	35	1
339	"air"	0	270	148.1	50	88	35	1
339	"bus"	0	270	21.71	316	65	35	1
339	"car"	1	270	51.3	181	0	35	1
340	"train"	0	278	49	187	100	70	1
340	"air"	0	278	144.95	50	84	70	1
340	"bus"	0	278	21.64	316	80	70	1
340	"car"	1	278	52.82	192	0	70	1
341	"train"	0	278	49	187	100	45	1
341	"air"	0	278	144.95	50	84	45	1
341	"bus"	0	278	21.64	316	80	45	1
341	"car"	1	278	52.82	192	0	45	1
342	"train"	0	278	49	187	100	70	1
342	"air"	0	278	144.95	50	84	70	1
342	"bus"	0	278	21.64	316	80	70	1
342	"car"	1	278	52.82	192	0	70	1
343	"train"	0	281	48.5	187	100	25	1
343	"air"	0	281	146.75	50	90	25	1
343	"bus"	0	281	21.79	316	83	25	1
343	"car"	1	281	53.39	195	0	25	1
344	"train"	0	281	48.5	187	100	35	1
344	"air"	0	281	146.75	50	90	35	1
344	"bus"	0	281	21.79	316	83	35	1
344	"car"	1	281	53.39	195	0	35	1
360	"train"	0	265	50.15	187	90	55	1
360	"air"	0	265	154.4	50	103	55	1
360	"bus"	0	265	22.21	316	80	55	1
360	"car"	1	265	50.35	183	0	55	1
361	"train"	0	265	50.15	187	90	25	1
361	"air"	0	265	154.4	50	103	25	1
361	"bus"	0	265	22.21	316	80	25	1
361	"car"	1	265	50.35	183	0	25	1
370	"train"	0	150	32.75	92	75	35	0
370	"air"	0	150	132.75	40	120	35	0
370	"bus"	0	150	11.23	109	86	35	0
370	"car"	1	150	28.5	112	0	35	0
371	"train"	0	150	32.75	92	75	25	0
371	"air"	0	150	132.75	40	120	25	0
371	"bus"	0	150	11.23	109	86	25	0
371	"car"	1	150	28.5	112	0	25	0
372	"train"	0	237	40.35	138	65	70	0
372	"air"	0	237	129	40	101	70	0
372	"bus"	0	237	17.4	152	91	70	0
372	"car"	1	237	45.03	164	0	70	0
373	"train"	0	215	43.75	120	100	70	1
373	"air"	0	215	134.4	40	93	70	1
373	"bus"	0	215	18.55	152	116	70	1
373	"car"	1	215	40.85	159	0	70	1
374	"train"	0	215	43.75	120	100	35	1
374	"air"	0	215	134.4	40	93	35	1
374	"bus"	0	215	18.55	152	116	35	1
374	"car"	1	215	40.85	159	0	35	1
375	"train"	1	204	41.9	120	75	55	1
375	"air"	0	204	139	40	113	55	1
375	"bus"	0	204	18.07	152	101	55	1
375	"car"	0	204	38.76	144	0	55	1
376	"train"	1	204	41.9	120	75	70	1
376	"air"	0	204	139	40	113	70	1
376	"bus"	0	204	18.07	152	101	70	1
376	"car"	0	204	38.76	144	0	70	1
377	"train"	1	204	41.9	120	75	55	1
377	"air"	0	204	139	40	113	55	1
377	"bus"	0	204	18.07	152	101	55	1
377	"car"	0	204	38.76	144	0	55	1
378	"train"	1	204	41.9	120	75	45	1
378	"air"	0	204	139	40	113	45	1
378	"bus"	0	204	18.07	152	101	45	1
378	"car"	0	204	38.76	144	0	45	1
379	"train"	0	204	41.9	120	75	70	1
379	"air"	1	204	139	40	113	70	1
379	"bus"	0	204	18.07	152	101	70	1
379	"car"	0	204	38.76	144	0	70	1
380	"train"	0	204	41.9	120	75	28	1
380	"air"	0	204	139	40	113	28	1
380	"bus"	0	204	18.07	152	101	28	1
380	"car"	1	204	38.76	144	0	28	1
381	"train"	0	204	41.9	120	75	25	1
381	"air"	0	204	139	40	113	25	1
381	"bus"	0	204	18.07	152	101	25	1
381	"car"	1	204	38.76	144	0	25	1
382	"train"	0	326	53.75	120	120	45	0
382	"air"	0	326	133.4	40	140	45	0
382	"bus"	0	326	24.88	346	96	45	0
382	"car"	1	326	61.94	226	0	45	0
384	"train"	0	587	92.75	434	90	70	1
384	"air"	1	587	175.6	96	100	70	1
384	"bus"	0	587	42.6	515	99	70	1
384	"car"	0	587	111.53	406	0	70	1
385	"train"	0	587	92.75	434	90	70	1
385	"air"	1	587	175.6	96	100	70	1
385	"bus"	0	587	42.6	515	99	70	1
385	"car"	0	587	111.53	406	0	70	1
386	"train"	1	621	90.75	434	79	45	1
386	"air"	0	621	172.2	96	95	45	1
386	"bus"	0	621	43.8	515	98	45	1
386	"car"	0	621	117.99	413	0	45	1
387	"train"	1	621	90.75	434	79	45	1
387	"air"	0	621	172.2	96	95	45	1
387	"bus"	0	621	43.8	515	98	45	1
387	"car"	0	621	117.99	413	0	45	1
388	"train"	0	621	90.75	434	79	70	1
388	"air"	0	621	172.2	96	95	70	1
388	"bus"	0	621	43.8	515	98	70	1
388	"car"	1	621	117.99	413	0	70	1
389	"train"	0	631	92.45	434	80	55	1
389	"air"	1	631	173.6	96	95	55	1
389	"bus"	0	631	43.6	515	101	55	1
389	"car"	0	631	119.89	426	0	55	1
411	"train"	0	147	38.5	92	85	70	0
411	"air"	0	147	130.9	40	120	70	0
411	"bus"	0	147	26.7	265	60	70	0
411	"car"	1	147	27.93	115	0	70	0
419	"train"	0	179	40.5	92	90	55	0
419	"air"	0	179	136.2	40	135	55	0
419	"bus"	0	179	25.7	265	55	55	0
419	"car"	1	179	34.01	133	0	55	0
420	"train"	0	179	40.5	92	90	70	0
420	"air"	0	179	136.2	40	135	70	0
420	"bus"	0	179	25.7	265	55	70	0
420	"car"	1	179	34.01	133	0	70	0
421	"train"	0	179	40.5	92	90	45	0
421	"air"	0	179	136.2	40	135	45	0
421	"bus"	0	179	25.7	265	55	45	0
421	"car"	1	179	34.01	133	0	45	0
422	"train"	0	179	40.5	92	90	45	0
422	"air"	0	179	136.2	40	135	45	0
422	"bus"	0	179	25.7	265	55	45	0
422	"car"	1	179	34.01	133	0	45	0
483	"train"	0	196	44.05	92	95	35	0
483	"air"	0	196	135.9	40	137	35	0
483	"bus"	0	196	26.7	265	60	35	0
483	"car"	1	196	37.24	148	0	35	0
484	"train"	0	196	44.05	92	95	70	0
484	"air"	0	196	135.9	40	137	70	0
484	"bus"	0	196	26.7	265	60	70	0
484	"car"	1	196	37.24	148	0	70	0
485	"train"	0	196	44.05	92	95	55	0
