schlcode	enrollment	enrollment_boys	enrollment_girls	c_num4rd	c_type	flgrm4	mrkgrm4	ngrm4	flmth4	mrkmth4	nmth4	towncode	popcode	grade	classid	classize	mathsize	avgmath	passmath	verbsize	avgverb	passverb	disadvantaged	c_num5rd	flgrm5	mrkgrm5	ngrm5	flmth5	mrkmth5	nmth5
11144	98	59	39	3	3	17	68	83	28.57	63	84	30007	11	4	2	33	28	61.57	25.01	28	65.031425	25.385714	10							
11145	21	11	10	1	1	14	72	7	28.57	60	7	36111	11	4	1	21	7	60.290001	28.6	7	72.139999	14.3	10							
11150	88	44	44	3	3	14	76	86	23.26	70	86	30007	11	4	2	31	28	66.860001	17.9	28	76.790001	14.3	2							
11150	88	44	44	3	3	14	76	86	23.26	70	86	30007	11	4	3	27	27	67.559998	37	27	75.589996	14.8	2							
11150	88	44	44	3	3	14	76	86	23.26	70	86	30007	11	4	1	30	31	74.961288	16.134193	31	75.643547	13.032258	2							
11151	28	16	12	1	1	33	58	30	70	53	30	30007	12	4	1	28	30	53.23	70	30	58.5	33.299999	42							
11152	92	49	43	3	3	9	75	77	31.17	70	77	30007	11	4	1	29	26	66.919998	34.599998	26	75.650002	11.5	5							
11152	92	49	43	3	3	9	75	77	31.17	70	77	30007	11	4	2	32	28	73.07	21.4	28	76.110001	7.0999999	5							
11152	92	49	43	3	3	9	75	77	31.17	70	77	30007	11	4	3	31	23	68.089996	39.099998	23	74.129997	8.6999998	5							
11159	43	22	21	2	2	11	70	38	44.740002	67	38	30007	12	4	2	22	23	68.129997	34.799999	23	69.129997	13	17							
11159	43	22	21	2	2	11	70	38	44.740002	67	38	30007	12	4	1	21	15	65.267334	59.981335	15	71.334	7.9333334	17							
11161	47	28	19	2	2	7	73	46	40	64	45	30007	12	4	1	23	22	59.73	50	23	70.959999	8.6999998	19							
11161	47	28	19	2	2	7	73	46	40	64	45	30007	12	4	2	24	23	68.43	30.4	23	75.389999	4.3000002	19							
11165	29	14	15	2	1	12	78	17	23.530001	67	17	30007	11	4	1	19	17	66.709999	23.5	17	78.290001	11.8	1							
11168	26	19	7	1	1	25	71	24	33.330002	68	24	30007	11	4	1	26	24	68.379997	33.299999	24	70.5	25	5							
11169	23	15	8	1	1	0	84	10	20	77	10	30007	12	4	1	23	10	77.400002	20	10	84.199997	0	0							
11170	75	40	35	2	2	9	81	75	27.629999	72	76	36178	12	4	2	35	36	72.169998	19.4	36	83.470001	8.3000002	2							
11170	75	40	35	2	2	9	81	75	27.629999	72	76	36178	12	4	1	40	40	71.847	35.036999	39	78.720001	9.6461535	2							
11171	93	47	46	3	3	7	76	84	31.76	74	85	36160	12	4	3	24	18	73.669998	16.700001	18	73.330002	5.5999999	8							
11171	93	47	46	3	3	7	76	84	31.76	74	85	36160	12	4	2	22	42	71.308098	38.07143	42	75.618568	6.8571429	8							
11172	15	6	9	1	1	7	75	15	20	79	15	35758	12	4	1	15	15	79	20	15	75.330002	6.6999998	7							
11181	84	42	42	3	2	10	74	69	20.290001	73	69	30007	11	4	1	35	69	73	20.290001	69	74	10	8							
11182	54	24	30	2	2	19	71	48	52.080002	63	48	30007	12	4	1	30	24	63.75	66.699997	24	71.830002	8.3000002	9							
11182	54	24	30	2	2	19	71	48	52.080002	63	48	30007	12	4	2	24	24	63.080002	37.5	24	70.580002	29.200001	9							
11183	71	31	40	2	2	11	74	62	36.919998	69	65	30007	11	4	1	36	35	73.370003	28.6	35	78.599998	5.6999998	1							
11183	71	31	40	2	2	11	74	62	36.919998	69	65	30007	11	4	2	35	30	63.73	46.700001	27	68.370003	18.5	1							
11184	99	57	42	3	3	6	78	93	26.6	72	94	35741	12	4	1	33	29	77.029999	24.1	28	79.040001	0	5							
11184	99	57	42	3	3	6	78	93	26.6	72	94	35741	12	4	2	33	23	64.739998	26.1	24	78.879997	8.3000002	5							
11184	99	57	42	3	3	6	78	93	26.6	72	94	35741	12	4	3	33	42	72.502617	28.6	41	76.774635	8.7512197	5							
11187	119	60	59	3	3	6	77	109	23.85	72	109	30007	11	4	1	40	38	75.080002	18.4	38	78.5	7.9000001	4							
11187	119	60	59	3	3	6	77	109	23.85	72	109	30007	11	4	2	39	35	75.510002	20	35	78.089996	0	4							
11187	119	60	59	3	3	6	77	109	23.85	72	109	30007	11	4	3	40	36	65.336388	33.345833	36	74.356941	9.8277779	4							
11188	41	17	24	2	2	38	58	37	61.110001	39	36	30007	11	4	1	21	20	37.25	50	21	58.380001	47.599998	12							
11188	41	17	24	2	2	38	58	37	61.110001	39	36	30007	11	4	2	16	16	41.380001	75	16	58.439999	25	12							
11189	31	0	31	1	1	3	77	30	26.67	59	30	30007	12	4	1	33	30	59.07	26.700001	30	76.629997	3.3	11							
11190	86	44	42	3	3	4	71	81	30.49	68	82	30007	11	4	1	29	29	65.830002	37.900002	29	71.690002	6.9000001	5							
11190	86	44	42	3	3	4	71	81	30.49	68	82	30007	11	4	2	27	26	64.580002	34.599998	25	65.080002	4	5							
11190	86	44	42	3	3	4	71	81	30.49	68	82	30007	11	4	3	30	27	74.190002	18.5	27	75	0	5							
11196	29	15	14	1	1	21	74	29	34.48	69	29	35733	12	4	1	29	29	69.07	34.5	29	73.660004	20.700001	0							
11201	84	47	37	3	3	24	71	76	27.85	71	79	30007	11	4	1	28	25	72.760002	28	24	70.959999	20.799999	3							
11201	84	47	37	3	3	24	71	76	27.85	71	79	30007	11	4	2	28	27	75.959999	18.5	27	73	25.9	3							
11201	84	47	37	3	3	24	71	76	27.85	71	79	30007	11	4	3	28	27	64.41037	37.061111	25	68.878403	25.02	3							
11203	22	8	14	1	1	9	72	23	30.43	72	23	2865	11	4	1	22	23	71.870003	30.4	23	71.910004	8.6999998	0							
11205	27	11	16	1	1	4	76	25	16	69	25	36384	12	4	1	27	25	69.32	16	25	76.519997	4	3							
11207	81	40	41	3	3	12	76	68	30.299999	68	66	26104	11	4	1	27	21	63	33.299999	22	74.139999	18.200001	10							
11207	81	40	41	3	3	12	76	68	30.299999	68	66	26104	11	4	2	24	18	71.559998	38.900002	19	79.470001	10.5	10							
11207	81	40	41	3	3	12	76	68	30.299999	68	66	26104	11	4	3	30	27	69.480003	22.200001	27	76	7.4000001	10							
11209	31	18	13	1	1	3	68	31	38.709999	65	31	36525	11	4	1	31	31	65	38.709999	31	68	3	0							
11212	20	12	8	1	1	0	78	17	33.330002	74	18	36418	12	4	1	20	18	74.559998	33.299999	17	78.410004	0	2							
11213	108	56	52	3	3	8	76	104	22.33	66	103	30007	11	4	1	38	35	63.540001	31.4	35	75.400002	5.6999998	7							
11213	108	56	52	3	3	8	76	104	22.33	66	103	30007	11	4	2	32	32	66.839996	18.799999	32	75	9.3999996	7							
11213	108	56	52	3	3	8	76	104	22.33	66	103	30007	11	4	3	38	36	68.580002	16.700001	37	77.839996	8.1000004	7							
11215	21	15	6	1	1	20	76	20	33.330002	72	21	35766	12	4	1	21	21	72.139999	33.299999	20	76.400002	20	0							
11217	155	84	71	4	4	19	69	151	37.75	59	151	36160	11	4	1	39	38	60.240002	26.299999	38	73.709999	13.2	5							
11217	155	84	71	4	4	19	69	151	37.75	59	151	36160	11	4	2	39	36	56.220001	47.200001	36	62.75	36.099998	5							
11217	155	84	71	4	4	19	69	151	37.75	59	151	36160	11	4	3	38	39	60	38.5	39	67.849998	12.8	5							
11217	155	84	71	4	4	19	69	151	37.75	59	151	36160	11	4	4	39	38	59.367367	39.477631	38	71.391319	14.963158	5							
11218	103	48	55	3	3	13	74	97	26.799999	69	97	30007	11	4	1	35	32	70.940002	21.9	32	75.410004	6.3000002	6							
11218	103	48	55	3	3	13	74	97	26.799999	69	97	30007	11	4	2	33	32	63.810001	34.400002	32	71.379997	21.9	6							
11218	103	48	55	3	3	13	74	97	26.799999	69	97	30007	11	4	3	34	33	71.699997	24.200001	33	74.940002	12.1	6							
11220	138	70	68	4	4	6	79	132	23.309999	76	133	30007	11	4	1	34	31	74.190002	22.6	32	76.809998	6.3000002	4							
11220	138	70	68	4	4	6	79	132	23.309999	76	133	30007	11	4	2	35	35	76.059998	31.4	34	82.940002	5.9000001	4							
11220	138	70	68	4	4	6	79	132	23.309999	76	133	30007	11	4	4	36	34	79.940002	11.8	34	81.379997	5.9000001	4							
11220	138	70	68	4	4	6	79	132	23.309999	76	133	30007	11	4	3	33	33	73.577271	27.255455	32	74.474998	5.9124999	4							
11221	87	49	38	3	3	7	78	83	25.299999	75	83	30007	12	4	1	29	29	71.449997	34.5	29	75.760002	10.3	11							
11221	87	49	38	3	3	7	78	83	25.299999	75	83	30007	12	4	3	30	28	79.68	21.4	28	80.93	7.0999999	11							
11221	87	49	38	3	3	7	78	83	25.299999	75	83	30007	12	4	2	28	26	73.919617	19.238462	26	77.343079	3.2115386	11							
11222	82	44	38	3	3	27	64	74	52	54	75	30007	12	4	1	27	25	49.200001	56	25	60.759998	20	3							
11222	82	44	38	3	3	27	64	74	52	54	75	30007	12	4	2	29	26	53.73	50	26	62.849998	30.799999	3							
11222	82	44	38	3	3	27	64	74	52	54	75	30007	12	4	3	26	24	59.2925	50	23	68.821739	30.313044	3							
11225	78	37	41	2	2	13	81	72	36.990002	76	73	36509	12	4	1	40	38	74.5	50	38	78.339996	21.1	2							
11225	78	37	41	2	2	13	81	72	36.990002	76	73	36509	12	4	2	38	35	77.459999	22.9	34	82.910004	2.9000001	2							
11227	123	66	57	3	3	12	72	117	43.099998	64	116	37309	11	4	1	41	39	63.970001	46.200001	40	72.699997	15	0							
11227	123	66	57	3	3	12	72	117	43.099998	64	116	37309	11	4	2	42	39	62.720001	41	38	70.370003	13.2	0							
11227	123	66	57	3	3	12	72	117	43.099998	64	116	37309	11	4	3	40	38	66	42.099998	39	71.769997	7.6999998	0							
11228	31	16	15	1	1	14	68	29	37.93	66	29	30007	12	4	1	31	29	66.169998	37.900002	29	68.169998	13.8	19							
11233	72	31	41	2	2	7	73	59	40.98	64	61	26104	12	4	1	37	27	69.260002	37	27	75.220001	3.7	11							
11233	72	31	41	2	2	7	73	59	40.98	64	61	26104	12	4	2	35	34	60.59	44.099998	32	70.339996	9.3999996	11							
11234	210	102	108	6	6									4	2	35	31	67.480003	41.900002	31	76.709999	6.5	10							
11234	210	102	108	6	6									4	3	37	34	69.349998	44.099998	34	73.029999	17.6	10							
11234	210	102	108	6	6									4	4	35	31	64.769997	48.400002	32	67.690002	28.1	10							
11234	210	102	108	6	6									4	5	36	35	65.540001	40	35	71.169998	17.1	10							
11234	210	102	108	6	6									4	6	32	25	66.120003	32	25	69.440002	16	10							
11235	38	23	15	1	1	12	72	33	35.290001	65	34	30007	11	4	1	38	34	65.349998	35.299999	33	72.360001	12.1	8							
11236	11	7	4	1	1	11	78	9	30	69	10	36012	11	4	1	11	10	68.400002	30	9	77.440002	11.1	0							
11238	20	6	14	1	1	11	69	19	19.049999	69	21	30007	11	4	1	20	21	69	19.049999	19	69	11	1							
11239	88	50	38	3	3	16	72	93	55.91	63	93	30007	12	4	1	24	26	60.919998	46.200001	26	71.769997	15.4	3							
11239	88	50	38	3	3	16	72	93	55.91	63	93	30007	12	4	2	26	28	60.07	78.599998	28	70.32	21.4	3							
11239	88	50	38	3	3	16	72	93	55.91	63	93	30007	12	4	3	38	39	66.360001	46.200001	39	73.559998	12.8	3							
11247	57	31	26	2	2	23	66	43	34.09	67	44	30007	11	4	2	23	21	72.709999	28.6	20	68.050003	20	5							
11247	57	31	26	2	2	23	66	43	34.09	67	44	30007	11	4	1	34	23	61.786522	39.102608	23	64.217392	25.608696	5							
11248	79	39	40	2	2	11	75	75	18.42	70	76	30007	11	4	1	39	39	70.510002	15.4	39	75.209999	10.3	5							
11248	79	39	40	2	2	11	75	75	18.42	70	76	30007	11	4	2	40	37	69.300003	21.6	36	74.639999	11.1	5							
11249	19	9	10	1	1	6	77	17	41.18	69	17	37309	12	4	1	19	17	69.470001	41.200001	17	77.470001	5.9000001	15							
11250	97	51	46	3	3	26	62	86	45.98	60	87	36160	11	4	1	32	29	52.900002	55.200001	28	54.57	25	8							
11250	97	51	46	3	3	26	62	86	45.98	60	87	36160	11	4	2	35	30	60.43	43.299999	30	63.07	40	8							
11250	97	51	46	3	3	26	62	86	45.98	60	87	36160	11	4	3	30	28	66.89286	39.302143	28	68.283569	12	8							
11251	12	5	7	1	1	8	77	12	16.67	78	12	37093	12	4	1	12	7	79.57	0	7	86.860001	0	8							
11256	31	17	14	1	1	19	72	31	19.35	70	31	30007	11	4	1	31	31	70	19.35	31	72	19	3							
11257	27	14	13	1	1	12	75	26	39.290001	70	28	30007	12	4	1	27	28	69.639999	39.299999	26	75.190002	11.5	5							
11258	46	22	24	2	2	12	73	43	13.95	76	43	36087	11	4	1	23	23	73.169998	13	23	66.260002	13	3							
11258	46	22	24	2	2	12	73	43	13.95	76	43	36087	11	4	2	23	20	80.199997	15	20	79.900002	10	3							
11259	43	19	24	2	2	9	76	45	28.889999	64	45	36053	11	4	1	22	25	62.080002	40	25	75.559998	12	0							
11259	43	19	24	2	2	9	76	45	28.889999	64	45	36053	11	4	2	21	20	65.900002	15	20	77	5	0							
11260	16	8	8	1	1	0	82	13	46.150002	73	13	35634	12	4	1	16	13	73.080002	46.200001	13	81.849998	0	4							
11281	29	12	17	1	1	4	80	28	25	72	28	37705	12	4	1	29	11	82.360001	9.1000004	11	83.449997	0	3							
11300	28	14	14	1	1	11	73	27	51.849998	61	27	30007	12	4	1	28	13	59.619999	53.799999	13	71.849998	7.6999998	5							
11306	39	27	12	1	1	28	71	36	30.559999	66	36	30007	11	4	1	39	36	65.5	30.6	36	70.690002	27.799999	5							
11307	30	12	18	1	1	13	69	23	30.43	67	23	30007	12	4	1	30	23	67	30.43	23	69	13	5							
11317	29	29	0	1	1	17	70	24	41.669998	68	24	36111	12	4	1	29	24	67.75	41.700001	24	70.169998	16.700001	0							
21005	18	11	7	1	1	12	83	17	64.709999	54	17	2949	11	4	1	18	17	54.41	64.699997	17	82.650002	11.8	0							
21006	64	30	34	2	2	7	76	54	43.639999	59	55	778	11	4	2	32	30	60.73	46.700001	30	79.599998	0	2							
21006	64	30	34	2	2	7	76	54	43.639999	59	55	778	11	4	1	32	25	56.924	39.967999	24	71.5	15.75	2							
21010	22	13	9	1	1	14	66	21	28.57	63	21	6825	12	4	1	22	21	62.900002	28.6	21	65.57	14.3	43							
21012	30	12	18	1	1	0	80	20	45	58	20	1768	11	4	1	30	20	57.5	45	20	79.900002	0	1							
21013	17	7	10	1	1	9	78	11	18.18	75	11	3137	11	4	1	17	11	75.360001	18.200001	11	78.360001	9.1000004	0							
21021	24	11	13	1	1	0	82	21	19.049999	75	21	2428	11	4	1	24	24	70.5	25	24	78.75	4.1999998	0							
21026	86	45	41	4	3	3	75	66	15.28	73	72	92007	11	4	1	29	27	78.370003	3.7	24	79.290001	0	27							
21026	86	45	41	4	3	3	75	66	15.28	73	72	92007	11	4	2	23	23	69.169998	21.700001	22	70.82	4.5	27							
21026	86	45	41	4	3	3	75	66	15.28	73	72	92007	11	4	3	25	22	70.413635	22.780001	20	74.449997	4.9499998	27							
21028	43	27	16	2	1	21	59	29	28.129999	62	32	92007	11	4	1	32	32	61.630001	28.1	29	59.029999	20.700001	40							
21029	39	27	12	2	1	19	72	26	37.040001	68	27	92007	12	4	1	27	27	68	37.040001	26	72	19	44							
21030	29	12	17	1	1	7	62	28	53.57	57	28	92007	12	4	1	29	28	56.860001	53.599998	28	61.639999	7.0999999	65							
21031	72	36	36	3	2	14	68	58	24.139999	69	58	92007	12	4	1	30	30	69.629997	30	30	68.900002	13.3	36							
21031	72	36	36	3	2	14	68	58	24.139999	69	58	92007	12	4	2	29	28	68.860001	17.9	28	67.75	14.3	36							
21032	48	13	35	2	2	19	72	43	25.58	66	43	7955	11	4	1	24	20	65.349998	45	20	70.900002	20	13							
21032	48	13	35	2	2	19	72	43	25.58	66	43	7955	11	4	2	24	23	66.089996	8.6999998	23	72.779999	17.4	13							
21041	27	13	14	1	1	8	81	26	32	70	25	4572	11	4	1	27	25	70.120003	32	26	81.5	7.6999998	3							
21042	15	9	6	1	1	36	73	14	64.290001	56	14	2626	11	4	1	15	14	55.639999	64.300003	14	73.07	35.700001	0							
21043	44	21	23	2	2	10	79	41	14.63	65	41	927	11	4	1	22	20	64.400002	20	20	80.599998	0	1							
21043	44	21	23	2	2	10	79	41	14.63	65	41	927	11	4	2	22	21	66.379997	9.5	21	78.43	19	1							
21048	80	46	34	2	2	11	73	74	18.42	68	76	1461	11	4	2	40	22	64.769997	31.799999	21	73.860001	4.8000002	13							
21048	80	46	34	2	2	11	73	74	18.42	68	76	1461	11	4	1	40	54	69.315926	12.968889	53	72.659248	13.456604	13							
21050	47	22	25	2	2	8	83	48	8.3299999	67	48	620	11	4	1	23	26	66.379997	15.4	26	81.540001	11.5	3							
21050	47	22	25	2	2	8	83	48	8.3299999	67	48	620	11	4	2	24	22	67.732727		22	84.725456	3.8636363	3							
