block	barrio	calle	altura	sameblock	distance	public	gasstation	bank	thefts	month	oneblock
812	Once	Bartolome Mitre	a2800/2900	0	3	0	0	0	0	4	0
735	Once	Ecuador	a300	0	1	0	0	1	0	4	1
743	Once	Boulogne Sur Mer	a300	0	1	0	0	0	0	4	1
829	Once	Sarmiento	a3000	0	2	0	0	0	0	4	0
734	Once	Ecuador	a200	0	1	0	0	0	0	4	1
725	Once	Jean Jaures	a200	0	2	0	0	0	0	4	0
828	Once	Sarmiento	a2900	0	2	0	0	0	0	4	0
733	Once	Ecuador	a0-100	0	4	0	0	0	0	4	0
727	Once	Jean Jaures	a400	0	2	1	1	0	0	4	0
726	Once	Jean Jaures	a300	0	2	0	0	0	0	4	0
805	Once	Rivadavia	a2900	0	5	0	0	0	0	4	0
840	Once	Corrientes	a2800	0	2	0	0	0	0	4	0
842	Once	Corrientes	a3000	0	1	0	0	0	0	4	1
841	Once	Corrientes	a2900	0	1	0	0	0	0	4	1
764	Once	Castelli	a400	0	2	0	0	0	0	4	0
811	Once	Bartolome Mitre	a2700	0	3	0	0	0	0	4	0
816	Once	Tte. Gral. Peron	a2500	0	1	0	0	0	.25	4	1
760	Once	Castelli	a0-100	0	4	0	0	0	0	4	0
824	Once	Sarmiento	a2500	0	2	0	0	1	1	4	0
809	Once	Bartolome Mitre	a2500	0	2	0	0	0	0	4	0
765	Once	Paso	a0-100	0	3	0	0	0	0	4	0
801	Once	Rivadavia	a2500	0	3	0	0	1	0	4	0
831	Once	Valentin Gomez	a2700	0	2	0	0	0	0	4	0
826	Once	Sarmiento	a2700	0	3	0	0	0	0	4	0
763	Once	Castelli	a300	0	3	0	0	0	0	4	0
762	Once	Castelli	a200	0	3	0	0	0	0	4	0
810	Once	Bartolome Mitre	a2600	0	3	0	0	0	0	4	0
825	Once	Sarmiento	a2600	0	3	0	0	1	1	4	0
767	Once	Paso	a200	0	2	0	0	0	0	4	0
761	Once	Castelli	a100	0	3	0	0	0	0	4	0
818	Once	Tte. Gral. Peron	a2700	0	2	0	0	0	0	4	0
830	Once	Valentin Gomez	a2600	0	2	0	0	0	0	4	0
817	Once	Tte. Gral. Peron	a2600	0	2	0	0	0	0	4	0
768	Once	Paso	a300	0	1	0	0	0	0	4	1
803	Once	Rivadavia	a2700	0	4	0	0	0	0	4	0
802	Once	Rivadavia	a2600	0	4	0	0	1	0	4	0
766	Once	Paso	a100	0	2	0	0	0	0	4	0
839	Once	Corrientes	a2700	0	2	0	0	0	0	4	0
837	Once	Corrientes	a2500	0	1	1	0	1	0	4	1
838	Once	Corrientes	a2600	0	1	0	0	1	0	4	1
753	Once	Pueyrredon	a300	0	2	0	0	1	0	4	0
751	Once	Pueyrredon	a100	0	2	0	0	0	0	4	0
750	Once	Pueyrredon	a0-100	0	3	0	0	0	0	4	0
752	Once	Pueyrredon	a200	0	2	0	0	1	0	4	0
754	Once	Pueyrredon	a400	0	2	0	0	0	0	4	0
524	V. Crespo	Araoz	a500	0	3	0	0	0	0	4	0
522	V. Crespo	Araoz	a300	0	3	0	0	0	0	4	0
523	V. Crespo	Araoz	a400	0	4	0	0	0	0	4	0
571	V. Crespo	Apolinario Figuer	a400	0	4	0	0	0	0	4	0
593	V. Crespo	Honorio Pueyrredo	a1500	0	5	0	0	0	1	4	0
595	V. Crespo	Honorio Pueyrredo	a1700	0	5	0	0	0	0	4	0
592	V. Crespo	Honorio Pueyrredo	a1400	0	6	0	0	0	0	4	0
594	V. Crespo	Honorio Pueyrredo	a1600	0	5	0	0	0	0	4	0
566	V. Crespo	Antezana	a400	0	3	0	0	0	0	4	0
590	V. Crespo	Honorio Pueyrredo	a1200	0	4	0	0	0	0	4	0
596	V. Crespo	Honorio Pueyrredo	a1800	0	6	0	0	1	0	4	0
561	V. Crespo	Ferrari	a400	0	3	0	0	0	0	4	0
580	V. Crespo	Galicia	a400	0	5	0	0	0	0	4	0
588	V. Crespo	R. E. de San Mart	a400	0	4	0	0	0	0	4	0
583	V. Crespo	Tres Arroyos	a400	0	4	0	0	0	0	4	0
558	V. Crespo	Angel Gallardo	a1000	0	5	0	0	0	0	4	0
589	V. Crespo	Honorio Pueyrredo	a1100	0	4	0	0	0	0	4	0
597	V. Crespo	Valentin Virasoro	a1100	0	4	0	0	0	.25	4	0
474	V. Crespo	J. B. Justo	a3200	0	4	0	0	0	0	4	0
586	V. Crespo	Belaustegui	a400	0	4	0	0	0	0	4	0
576	V. Crespo	Luis Viale	a400	0	5	0	0	0	0	4	0
591	V. Crespo	Honorio Pueyrredo	a1300	0	5	0	0	0	0	4	0
603	V. Crespo	Valentin Virasoro	a1700	0	4	0	0	0	0	4	0
604	V. Crespo	Valentin Virasoro	a1800	0	4	0	0	0	0	4	0
605	V. Crespo	Valentin Virasoro	a1900	0	4	0	0	0	0	4	0
602	V. Crespo	Valentin Virasoro	a1600	0	4	0	0	0	0	4	0
599	V. Crespo	Valentin Virasoro	a1300	0	3	0	1	0	0	4	0
598	V. Crespo	Valentin Virasoro	a1200	0	3	0	0	0	.25	4	0
601	V. Crespo	Valentin Virasoro	a1500	0	5	0	0	0	0	4	0
600	V. Crespo	Valentin Virasoro	a1400	0	4	0	0	0	0	4	0
649	V. Crespo	Padilla	a700	0	1	0	0	0	0	4	1
643	V. Crespo	Murillo	a1000	0	2	0	0	0	0	4	0
650	V. Crespo	Padilla	a800	0	1	0	0	0	0	4	1
469	V. Crespo	J. B. Justo	a2700	0	2	0	0	0	0	4	0
612	V. Crespo	Olaya	a1700	0	3	0	0	0	0	4	0
661	V. Crespo	Camargo	a800	1	0	0	0	0	0	4	0
660	V. Crespo	Camargo	a700	0	1	0	0	0	0	4	1
475	V. Crespo	Thames	a0-100	0	2	0	0	0	.25	4	0
651	V. Crespo	Padilla	a900	1	0	0	0	0	0	4	0
627	V. Crespo	Acoyte	a1600	0	2	0	0	0	.25	4	0
479	V. Crespo	Thames	a400	0	2	0	1	0	0	4	0
636	V. Crespo	Munecas	a900	0	1	0	0	0	0	4	1
662	V. Crespo	Camargo	a900	0	1	0	0	0	0	4	1
641	V. Crespo	Murillo	a800	0	2	0	0	0	0	4	0
634	V. Crespo	Munecas	a700	0	2	0	0	0	0	4	0
527	V. Crespo	Mahatma Gandhi	a300	0	2	0	0	0	0	4	0
620	V. Crespo	Hidalgo	a1700	0	2	0	0	0	0	4	0
526	V. Crespo	Mahatma Gandhi	a200	0	3	0	0	0	0	4	0
613	V. Crespo	Olaya	a1800	0	3	0	0	0	0	4	0
663	V. Crespo	Camargo	a1000	0	2	0	1	0	0	4	0
584	V. Crespo	Belaustegui	a200	0	2	0	0	0	0	4	0
722	V. Crespo	Warnes	a800	0	1	0	0	0	.25	4	1
587	V. Crespo	R. E. de San Mart	a300	0	3	0	0	0	.25	4	0
530	V. Crespo	Mahatma Gandhi	a600	0	3	0	0	0	.25	4	0
470	V. Crespo	J. B. Justo	a2800	0	2	0	0	0	0	4	0
582	V. Crespo	Tres Arroyos	a300	0	3	0	0	0	0	4	0
493	V. Crespo	Gurruchaga	a200	0	1	0	0	0	0	4	1
492	V. Crespo	Gurruchaga	a100	0	2	0	0	0	0	4	0
484	V. Crespo	Serrano	a100	0	1	0	0	0	0	4	1
485	V. Crespo	Serrano	a200	0	1	0	0	0	0	4	1
528	V. Crespo	Mahatma Gandhi	a400	0	2	0	0	0	0	4	0
477	V. Crespo	Thames	a200	0	1	0	0	0	0	4	1
487	V. Crespo	Serrano	a400	0	1	0	0	0	0	4	1
635	V. Crespo	Munecas	a800	0	1	0	0	0	0	4	1
637	V. Crespo	Munecas	a1000	0	2	0	1	0	0	4	0
720	V. Crespo	Warnes	a600	0	2	0	0	0	0	4	0
468	V. Crespo	J. B. Justo	a2600	0	3	0	0	0	0	4	0
472	V. Crespo	J. B. Justo	a3000	0	3	0	0	0	0	4	0
491	V. Crespo	Gurruchaga	a0-100	0	2	0	0	0	0	4	0
473	V. Crespo	J. B. Justo	a3100	0	3	0	0	0	0	4	0
611	V. Crespo	Olaya	a1600	0	3	0	0	0	0	4	0
476	V. Crespo	Thames	a100	0	2	0	0	0	0	4	0
483	V. Crespo	Serrano	a0-100	1	0	0	0	0	0	4	0
642	V. Crespo	Murillo	a900	0	2	0	0	0	0	4	0
619	V. Crespo	Hidalgo	a1600	0	3	0	0	0	0	4	0
495	V. Crespo	Gurruchaga	a400	0	1	0	0	0	1	4	1
723	V. Crespo	Warnes	a900	0	2	0	0	1	.25	4	0
585	V. Crespo	Belaustegui	a300	0	3	0	0	0	0	4	0
486	V. Crespo	Serrano	a300	1	0	0	0	0	0	4	0
529	V. Crespo	Mahatma Gandhi	a500	0	2	0	0	0	1	4	0
652	V. Crespo	Padilla	a1000	0	1	0	1	0	0	4	1
640	V. Crespo	Murillo	a700	0	1	0	0	0	0	4	1
478	V. Crespo	Thames	a300	0	1	0	0	0	1	4	1
633	V. Crespo	Martinez Rosas	a1000	0	2	0	0	0	0	4	0
494	V. Crespo	Gurruchaga	a300	1	0	0	0	0	0	4	0
721	V. Crespo	Warnes	a700	0	1	0	0	0	0	4	1
632	V. Crespo	Martinez Rosas	a900	0	1	0	0	0	0	4	1
471	V. Crespo	J. B. Justo	a2900	0	3	0	0	0	0	4	0
581	V. Crespo	Tres Arroyos	a100-300	0	2	0	0	0	0	4	0
578	V. Crespo	Galicia	a200	0	3	0	0	0	0	4	0
579	V. Crespo	Galicia	a300	0	4	0	0	0	0	4	0
501	V. Crespo	Acevedo	a200	1	0	0	0	0	0	4	0
577	V. Crespo	Galicia	a100	0	2	0	0	0	0	4	0
502	V. Crespo	Acevedo	a300	0	1	0	0	0	1	4	1
499	V. Crespo	Acevedo	a0-100	0	1	0	0	0	1	4	1
500	V. Crespo	Acevedo	a100	0	1	0	0	0	0	4	1
543	V. Crespo	Frias	a100	0	2	0	0	0	0	4	0
626	V. Crespo	Acoyte	a1500	0	2	0	0	0	.25	4	0
513	V. Crespo	R. S. Ortiz	a0-100	0	2	0	0	0	0	4	0
639	V. Crespo	Murillo	a600	1	0	0	0	0	0	4	0
655	V. Crespo	Camargo	a200	0	1	0	0	0	1	4	1
659	V. Crespo	Camargo	a600	0	1	1	0	0	0	4	1
515	V. Crespo	R. S. Ortiz	a200	0	2	0	0	1	.25	4	0
514	V. Crespo	R. S. Ortiz	a100	0	2	0	0	0	0	4	0
609	V. Crespo	Olaya	a1400	0	3	0	0	0	0	4	0
656	V. Crespo	Camargo	a300	0	2	0	0	0	0	4	0
509	V. Crespo	Malabia	a300	0	1	0	0	0	1	4	1
572	V. Crespo	Luis Viale	a0-100	0	2	0	0	0	.25	4	0
520	V. Crespo	Araoz	a100	0	3	0	0	0	0	4	0
653	V. Crespo	Camargo	a0-100	0	2	0	0	0	0	4	0
614	V. Crespo	Hidalgo	a1100	0	3	0	0	0	0	4	0
638	V. Crespo	Murillo	a500	0	1	0	0	0	0	4	1
646	V. Crespo	Padilla	a400	0	2	0	0	0	0	4	0
556	V. Crespo	Angel Gallardo	a800	0	4	0	0	1	0	4	0
557	V. Crespo	Angel Gallardo	a900	0	4	0	1	0	0	4	0
564	V. Crespo	Antezana	a200	0	1	0	0	0	.25	4	1
617	V. Crespo	Hidalgo	a1400	0	1	0	0	0	0	4	1
618	V. Crespo	Hidalgo	a1500	0	2	0	0	0	0	4	0
507	V. Crespo	Malabia	a100	0	1	0	0	0	0	4	1
559	V. Crespo	Ferrari	a200	0	2	0	0	0	0	4	0
629	V. Crespo	Leopoldo Marechal	a1200	0	3	0	0	0	0	4	0
610	V. Crespo	Olaya	a1500	0	4	0	0	0	0	4	0
628	V. Crespo	Leopoldo Marechal	a1100	0	3	0	0	0	1	4	0
565	V. Crespo	Antezana	a300	0	2	0	0	0	.25	4	0
622	V. Crespo	Acoyte	a1100	0	3	0	0	0	0	4	0
623	V. Crespo	Acoyte	a1200	0	2	0	0	0	0	4	0
554	V. Crespo	Angel Gallardo	a600	0	4	0	1	0	0	4	0
551	V. Crespo	Angel Gallardo	a300	0	3	0	0	0	0	4	0
519	V. Crespo	Araoz	a0-100	0	2	0	0	0	1	4	0
537	V. Crespo	Lavalleja	a100	1	0	0	0	0	1	4	0
553	V. Crespo	Angel Gallardo	a500	0	3	1	0	0	0	4	0
657	V. Crespo	Camargo	a400	0	2	0	0	0	0	4	0
567	V. Crespo	Apolinario Figuer	a0-100	0	2	0	0	0	0	4	0
525	V. Crespo	Julian Alvarez	a100	0	2	0	0	0	1	4	0
569	V. Crespo	Apolinario Figuer	a200	0	2	0	0	0	0	4	0
615	V. Crespo	Hidalgo	a1200	0	2	0	0	0	0	4	0
560	V. Crespo	Ferrari	a300	0	3	0	0	0	0	4	0
717	V. Crespo	Warnes	a300	0	2	0	0	0	0	4	0
575	V. Crespo	Luis Viale	a300	0	4	0	0	0	0	4	0
574	V. Crespo	Luis Viale	a200	0	3	0	0	0	0	4	0
562	V. Crespo	Antezana	a0-100	0	1	0	0	0	0	4	1
719	V. Crespo	Warnes	a500	0	2	0	0	0	0	4	0
508	V. Crespo	Malabia	a200	1	0	0	0	0	0	4	0
531	V. Crespo	Mahatma Gandhi	a700	0	4	0	0	0	.25	4	0
607	V. Crespo	Olaya	a1200	0	2	0	0	0	.25	4	0
563	V. Crespo	Antezana	a100	1	0	0	0	0	0	4	0
648	V. Crespo	Padilla	a600	0	1	0	0	0	0	4	1
542	V. Crespo	Frias	a0-100	0	2	0	0	0	0	4	0
645	V. Crespo	Padilla	a300	0	3	0	0	0	0	4	0
536	V. Crespo	Lavalleja	a0-100	0	1	0	0	0	0	4	1
621	V. Crespo	Del Parque	a1200	0	2	0	0	0	0	4	0
714	V. Crespo	Warnes	a0-100	0	2	0	0	0	0	4	0
644	V. Crespo	Padilla	a200	0	2	0	0	0	0	4	0
568	V. Crespo	Apolinario Figuer	a100	0	2	0	0	0	0	4	0
624	V. Crespo	Acoyte	a1300	0	1	0	0	0	1	4	1
616	V. Crespo	Hidalgo	a1300	0	1	0	0	0	0	4	1
606	V. Crespo	Olaya	a1100	0	3	0	0	0	0	4	0
552	V. Crespo	Angel Gallardo	a400	0	3	0	0	0	0	4	0
654	V. Crespo	Camargo	a100	0	1	0	0	0	0	4	1
718	V. Crespo	Warnes	a400	0	2	0	0	0	0	4	0
608	V. Crespo	Olaya	a1300	0	2	0	0	0	.25	4	0
573	V. Crespo	Luis Viale	a100	0	3	0	0	0	.25	4	0
532	V. Crespo	Julian Alvarez	a200	0	2	0	0	0	0	4	0
555	V. Crespo	Angel Gallardo	a700	0	4	0	0	1	0	4	0
631	V. Crespo	Bravard	a1100	0	2	0	0	0	0	4	0
658	V. Crespo	Camargo	a500	0	1	0	0	1	0	4	1
625	V. Crespo	Acoyte	a1400	0	1	0	0	0	0	4	1
630	V. Crespo	Leopoldo Marechal	a1300	0	2	0	0	0	0	4	0
715	V. Crespo	Warnes	a100	0	2	0	0	0	0	4	0
506	V. Crespo	Malabia	a0-100	0	1	0	0	0	0	4	1
647	V. Crespo	Padilla	a500	0	1	0	0	0	0	4	1
521	V. Crespo	Araoz	a200	0	3	0	0	0	0	4	0
716	V. Crespo	Warnes	a200	0	2	0	1	0	0	4	0
570	V. Crespo	Apolinario Figuer	a300	0	3	0	0	0	0	4	0
674	V. Crespo	Corrientes	a5700	0	3	0	0	0	0	4	0
671	V. Crespo	Corrientes	a5400	0	2	0	0	1	0	4	0
672	V. Crespo	Corrientes	a5500	0	2	0	0	1	0	4	0
673	V. Crespo	Corrientes	a5600	0	2	1	0	0	0	4	0
713	V. Crespo	Luis Maria Drago	a400	0	3	0	0	0	.25	4	0
668	V. Crespo	Corrientes	a5100	0	3	0	0	1	.25	4	0
670	V. Crespo	Corrientes	a5300	0	2	1	0	1	0	4	0
669	V. Crespo	Corrientes	a5200	0	2	0	0	1	.25	4	0
712	V. Crespo	Luis Maria Drago	a300	0	2	0	0	0	0	4	0
711	V. Crespo	Luis Maria Drago	a200	0	1	0	0	0	0	4	1
225	Belgrano	Cramer	a700	0	9	0	0	0	0	4	0
157	Belgrano	Virrey Olaguer y	a2600	0	8	0	0	0	0	4	0
231	Belgrano	Cramer	a1400	0	7	0	0	0	.25	4	0
227	Belgrano	Cramer	a900	0	11	0	0	0	0	4	0
267	Belgrano	Moldes	a1200	0	9	0	0	0	0	4	0
174	Belgrano	Virrey Loreto	a2600	0	9	0	0	0	.25	4	0
268	Belgrano	Moldes	a1300	0	8	0	0	0	0	4	0
158	Belgrano	Virrey Olaguer y	a2700	0	7	0	0	0	0	4	0
230	Belgrano	Cramer	a1300	0	8	0	0	0	0	4	0
312	Belgrano	Ciudad de la Paz	a1300	0	7	0	0	0	0	4	0
311	Belgrano	Ciudad de la Paz	a1200	0	8	0	0	0	.25	4	0
228	Belgrano	Cramer	a1000	0	11	0	0	0	0	4	0
289	Belgrano	Amenabar	a1200	0	9	0	0	0	.25	4	0
233	Belgrano	Cramer	a1600-1650	0	5	0	1	0	0	4	0
173	Belgrano	Virrey Loreto	a2500	0	8	0	0	0	.25	4	0
172	Belgrano	Virrey Loreto	a2400	0	7	0	0	0	0	4	0
288	Belgrano	Amenabar	a1100	0	9	0	0	0	0	4	0
161	Belgrano	Virrey Arredondo	a2400	0	7	0	0	0	0	4	0
290	Belgrano	Amenabar	a1300	0	9	0	0	0	.25	4	0
163	Belgrano	Virrey Arredondo	a2600	0	9	0	0	0	0	4	0
156	Belgrano	Virrey Olaguer y	a2500	0	8	0	0	0	0	4	0
229	Belgrano	Cramer	a1200	0	9	0	0	0	0	4	0
162	Belgrano	Virrey Arredondo	a2500	0	8	0	0	0	0	4	0
153	Belgrano	Virrey Aviles	a2700	0	6	0	0	0	0	4	0
232	Belgrano	Cramer	a1500	0	6	0	0	0	.25	4	0
155	Belgrano	Virrey Olaguer y	a2400	0	7	0	0	0	0	4	0
247	Belgrano	Vidal	a1500	0	5	0	0	0	0	4	0
266	Belgrano	Moldes	a1100	0	10	0	0	0	0	4	0
314	Belgrano	Ciudad de la Paz	a1500	0	7	0	0	0	0	4	0
246	Belgrano	Vidal	a1400	0	6	0	0	0	0	4	0
269	Belgrano	Moldes	a1400	0	7	0	0	0	1	4	0
270	Belgrano	Moldes	a1500	0	6	0	0	1	0	4	0
292	Belgrano	Amenabar	a1500	0	7	0	0	0	0	4	0
226	Belgrano	Cramer	a800	0	10	0	0	0	0	4	0
313	Belgrano	Ciudad de la Paz	a1400	0	7	0	0	0	0	4	0
291	Belgrano	Amenabar	a1400	0	8	0	0	0	0	4	0
154	Belgrano	Virrey Aviles	a2800	0	6	0	0	0	.25	4	0
264	Belgrano	Moldes	a900	0	9	0	0	0	0	4	0
