state	povrate60	mort_age59_related_postHS	mort_age59_injury_postHS	mort_age59_all_postHS	mort_age25plus_related_postHS	mort_age25plus_injuries_postHS	mort_age59_related_preHS	census1960_pop	census1960_pctsch1417	census1960_pctsch534	census1960_pctsch25plus	census1960_pop1417	census1960_pop534	census1960_pop25plus	census1960_pcturban	census1960_pctblack
6	16.019957	0	0	0	60.775902	118.17537	0	1804	0	.41518986	51.400002	91	790	1118	0	0
17	16.037111	34.352455	34.352455	68.70491	192.06593	108.25534	0	4665	96.300003	.62981743	53.200001	329	1972	2741	0	0
23	16.070141	2.2295847	19.620346	36.565189	96.397774	87.936531	5.1162858	190351	89.699997	.54988766	36.599998	12205	90784	98682	69.199997	9.8000002
24	16.092674	0	0	32.883919	95.690262	106.73145	0	3229	0	.55416119	50.900002	219	1514	1841	0	.40000001
51	16.114895	0	32.596294	54.32716	80.608284	120.91242	0	16947	95.599998	.55886972	54.200001	1218	8281	8615	56.799999	0
5	16.141487	9.1983624	32.194271	59.789356	111.91556	110.53388	26.288118	14599	96	.59247649	46.200001	909	5742	8971	18.9	.60000002
51	16.157206	0	119.50287	119.50287	258.52585	167.76677	0	6414	91.599998	.55775923	45.599998	396	2874	3563	62.099998	.2
6	16.159496	9.4015884	4.7007942	28.204767	53.710499	76.835854	0	4846	98.800003	.55565822	50.299999	309	2165	2714	0	0
38	16.196045	1.9650998	15.720798	28.493948	108.14215	90.932167	4.3641443	74890	95	.56717241	47.400002	4909	32625	42486	45.400002	0
15	16.197483	0	16.670834	25.006252	109.52972	76.357857	0	21176	91.599998	.55500841	46.700001	1451	9544	11525	22.9	0
26	16.207521	4.2934422	13.595901	25.045082	89.250252	74.416077	6.0175714	66370	88.800003	.50574535	29.1	3925	32026	34833	24.9	1.3
36	16.216133	4.3910685	10.977672	21.955343	82.684128	57.390461	7.8477535	65162	84.599998	.49679497	34.599998	4224	34165	32320	32.599998	1.4
17	16.227507	0	0	60.882801	88.569595	88.569603	0	3130	98.199997	.56553078	47.799999	229	1526	1594	0	0
39	16.234131	3.2338912	14.956747	33.55162	108.78455	63.559505	4.8793578	251384	90.800003	.56245071	43.299999	15963	112833	138842	77.099998	2.8
21	16.245346	1.0045304	5.0226521	21.095139	48.916534	50.334404	8.1719379	36514	85.5	.48739353	40.900002	2311	17729	18975	15.9	11.2
42	16.27631	0	28.892456	40.12841	97.650124	86.102806	0	58273	90.900002	.50441784	55.799999	3000	30671	27453	72.900002	1
48	16.277699	0	22.136953	36.894924	119.72507	97.847595	2.9373751	54939	92.400002	.57741523	42.5	3509	23290	31313	54.200001	.1
16	16.282351	0	13.270344	21.23255	167.44383	71.761642	15.17635	50443	93.099998	.55705458	49.200001	3034	22163	28057	73.800003	.40000001
33	16.296017	3.5331943	14.132777	28.265554	130.63181	66.216812	37.489288	32238	91.199997	.56922376	36.700001	1938	13218	19024	39.200001	1
6	16.315714	0	11.831519	35.494556	81.337357	143.4106	39.123631	7060	86	.50188881	44.200001	413	3706	3425	56.400002	0
33	16.354391	1.7315418	15.583876	31.167751	139.83229	68.428566	12.639668	66651	90.599998	.5751996	35.700001	4110	27806	38909	59.200001	.1
17	16.357128	0	17.181393	47.248829	117.0912	82.169266	0	25981	92.199997	.57543468	48.900002	1614	11732	14461	57.5	1.8
6	16.365047	.86941147	14.779995	29.270187	144.26222	111.86723	4.5255799	492947	86	.52033162	53.400002	25868	218674	286394	100	6.0999999
50	16.366243	0	45.167118	72.267387	129.05077	88.722397	0	52812	96	.67029971	39.799999	622	3670	5615	0	0
27	16.371315	0	9.6730509	9.6730509	160.69736	99.424263	0	13399	92.099998	.56884247	45.900002	908	5745	7595	62.5	.1
42	16.380875	0	36.686478	36.686478	147.2464	134.11615	0	17549	94.5	.622316	47.599998	1050	8057	9012	75.800003	0
5	16.380983	1.496991	12.474925	34.430794	88.718529	80.323166	2.3670881	133953	92.099998	.48875028	49.099998	7658	67335	70072	79.099998	9.5
13	16.382481	0	32.195751	32.195751	53.261028	91.996323	0	3031	98.199997	.5595054	39.200001	220	1294	1676	0	0
48	16.386902	6.6163821	19.849146	39.698292	105.66705	91.975975	2.8310966	47293	93.199997	.51097709	56.400002	2872	24369	22178	45.400002	1.8
36	16.405216	2.6809652	6.7024131	18.766756	160.65471	73.756607	9.5721264	99927	90.699997	.52376878	36.299999	6035	44407	56509	55.5	5.4000001
17	16.41571	0	13.828581	33.188595	103.77773	91.077652	3.9796243	38213	89.599998	.5466674	46.200001	2536	17689	21303	49.400002	.5
48	16.418688	6.1748724	18.524616	34.990944	126.99806	95.433495	15.87604	52055	94.199997	.58238393	47.299999	3332	22207	29554	44.799999	.1
15	16.472181	0	8.5386162	17.077232	82.339973	69.672287	14.380213	21584	87.699997	.50815386	44.799999	1363	9566	11785	29.4	0
16	16.488262	0	13.718551	21.94968	135.67284	64.554008	8.4324141	38239	92.699997	.5549652	49.400002	2249	16374	22023	59.5	.69999999
23	16.493349	1.9447379	17.687855	32.041874	124.16028	104.38667	4.7772055	2664438	89.400002	.55810887	38.200001	153908	1180784	1519984	97.5	19.9
38	16.497021	2.5689771	8.9914198	30.827724	107.33987	78.568359	2.3991172	59501	94.599998	.55920035	44.200001	4286	27711	31336	37.599998	0
44	16.511387	0	68.775787	137.55157	178.54593	185.68776	0	1983	0	.57595772	53	132	757	1217	0	.2
6	16.512537	0	36.977692	43.14064	136.91611	114.23676	6.6586761	20370	93.5	.56587738	48.700001	1419	9882	10465	53	0
27	16.539608	0	40.933277	40.933277	110.29614	104.78134	0	3050	95.699997	.56393963	46.299999	218	1259	1719	0	0
48	16.560833	2.5902507	15.541505	33.414234	95.677353	84.792763	6.1842918	322396	89.5	.5002203	47.200001	19314	154324	173243	72.699997	3.3
36	16.582487	5.667007	12.467415	31.735237	102.99057	56.557533	3.9443064	75641	82.900002	.51620007	42	4873	36790	39239	38.400002	1.4
16	16.584051	0	18.093407	27.14011	103.95184	58.803856	0	49537	92.599998	.67098504	64.099998	2482	26090	24124	63.299999	.30000001
5	16.584635	0	8.911068	17.822136	117.63313	103.42242	0	10322	91.699997	.74276745	45.900002	1156	4459	5566	0	1.8
36	16.587255	2.553561	10.214244	30.642731	122.60809	67.473	15.653127	36103	93.5	.54352045	43.200001	2196	16498	19577	40.099998	.2
14	16.611263	1.6933798	11.853658	27.940765	84.718376	51.840912	4.2062759	132868	82.099998	.55747026	58.900002	6695	75091	61469	75.599998	5.0999999
16	16.612617	1.9701328	19.701328	41.372787	140.56032	70.142624	5.7411871	55817	90.300003	.56150049	45.5	3389	23699	31230	66.900002	.60000002
38	16.637115	17.934002	0	17.934002	181.25757	152.08968	0	6790	92.199997	.5129022	50.700001	466	3139	4026	0	.2
33	16.639421	3.4202888	19.59733	36.513893	147.37366	96.909569	1.6800306	1431884	86.099998	.4892374	32.900002	80425	596510	890427	100	11.5
22	16.65288	.7640723	11.970466	26.997221	122.61217	52.771446	7.35957	400769	82.400002	.5296374	27.799999	24962	166074	239005	84.199997	1.2
17	16.658318	2.5461814	16.550179	35.009995	131.265	97.548088	2.4688919	187302	84.5	.52291071	37.799999	10742	85244	101550	88.5	16.700001
45	16.674818	1.3821191	10.13554	24.878143	92.766342	68.624748	8.6766825	107433	91.199997	.65554112	56.799999	7798	59293	46150	84.300003	0
15	16.696486	0	35.48616	44.3577	133.937	84.889641	5.562973	28340	87.400002	.52579349	42.400002	1939	12697	15472	33.200001	0
14	16.718472	0	0	39.580448	101.57983	80.194603	34.794712	4504	87	.54965478	37.799999	294	1883	2738	0	.30000001
6	16.724419	2.5717802	11.75671	29.759171	94.868027	77.624466	6.4528618	143734	86.5	.50894111	61.099998	8121	72586	73520	76	3.5
15	16.732901	0	8.4721832	16.944366	130.32294	99.72538	8.5667782	40965	90.099998	.52555174	43.099998	2485	17083	24423	51.599998	.80000001
47	16.737207	1.2904003	12.043736	27.958673	61.092186	57.278339	0	15674	90	.39484429	58	455	3918	4354	60.799999	15.2
44	16.737469	0	0	0	74.415833	89.299004	0	1177	0	.45083487	45.099998	77	539	617	0	1.2
36	16.739225	3.1681662	17.952942	40.130108	118.2565	75.26825	3.2400208	93278	91.699997	.54238379	43	6002	41950	51732	52.799999	2.3
6	16.747572	0	0	0	37.023323	129.58163	0	412	0	.70303029	45.400002	29	165	253	0	0
26	16.759529	1.5272918	21.191174	38.945938	121.5392	101.81244	8.6439581	626289	85.400002	.49091476	47.700001	30922	269338	366539	94.400002	13.5
48	16.763523	5.3909807	24.259415	53.909809	124.97124	108.67064	5.2002082	29961	91.300003	.5604322	45.299999	2085	13420	16645	42.099998	.1
36	16.765829	3.2401257	22.68088	45.361759	120.40881	71.107574	0	60752	90.800003	.48109099	41.599998	3653	27791	33596	61.599998	2.5
19	16.767321	1.743588	24.410231	45.333286	89.312614	82.587265	0	32391	86.5	.51885319	36.599998	1869	17265	15635	66	7.3000002
27	16.785826	0	16.380016	16.380016	146.58963	114.25368	0	7139	96.5	.52786887	42	387	3050	4092	66.900002	.2
40	16.789766	1.1575682	11.807196	26.392555	123.36639	63.985004	5.2674899	568668	83.400002	.5279156	32.099998	32688	235424	344128	91.800003	2.3
16	16.793354	0	7.733952	17.677605	118.76573	55.596397	7.3607893	79676	88.300003	.57399684	40.799999	4702	37657	40973	75.099998	.1
15	16.796789	15.872008	15.872008	82.534439	144.58884	93.664459	5.1583619	32735	89.099998	.54471648	47.599998	2247	15397	17533	52.099998	.2
42	16.816246	1.0835645	17.337032	33.5905	106.64893	59.543056	3.250447	87137	92	.56246489	50.099998	4880	40975	45550	76.900002	.2
14	16.840132	2.2846177	5.711544	25.130795	96.466034	55.769421	8.1589365	83572	90.800003	.58203501	47.099998	4910	38319	46404	59.200001	1.5
16	16.858284	1.2592872	12.592873	25.185745	127.81711	69.786278	12.307909	84192	88.300003	.53786236	44.700001	4954	38772	44828	72.900002	.69999999
5	16.868855	2.1270854	17.149626	32.969822	114.02778	96.045113	5.1350827	504041	91.400002	.55764937	48.400002	30876	238320	271203	74.400002	3.4000001
38	16.881788	0	15.088646	22.632969	147.30269	121.36259	0	17704	94	.54400748	44.900002	1108	7476	9896	57.700001	.2
23	16.885059	0	12.979657	20.059471	130.77167	78.795937	5.6376143	78085	89.699997	.58150226	43.799999	5750	37637	40279	41.900002	.5
45	16.910276	0	21.417862	21.417862	93.243713	135.98042	0	4451	99.199997	.67641228	50.700001	360	2018	2234	0	0
28	16.91358	0	0	0	151.17581	156.77492	0	3240	96.400002	.64549017	50.400002	200	1275	1823	0	0
36	16.931421	1.8886454	15.109163	32.106972	112.89537	73.104378	2.9992201	46737	91.400002	.53565919	43.700001	3069	22042	25130	47.900002	1.1
38	16.932058	0	24.880779	45.614761	127.92258	95.34304	0	27785	93.800003	.53411764	43.099998	1666	11050	16555	55.200001	.30000001
23	16.940947	0	21.084814	26.356016	82.82093	61.801983	3.4911325	38017	93.099998	.57349396	39.599998	2649	18675	18877	21.799999	.1
11	16.953648	2.7471128	15.305342	29.43335	62.197189	78.002319	3.6654205	115128	87.900002	.47823137	41.900002	7163	60454	57296	48.5	7
39	16.967686	.64308888	10.932511	20.900389	96.131271	61.86969	6.436604	354924	90.099998	.5175637	39.099998	21102	156089	204069	60.700001	2
33	16.968395	4.9923868	29.954319	52.420059	146.54698	68.963287	0	41461	89.300003	.5990026	40.599998	2737	19050	22004	55.5	.2
13	16.982588	3.5447166	14.178866	31.902449	150.77362	109.8287	0	27530	92.199997	.54449499	48.099998	1704	12316	14845	82.699997	0
33	17.006275	1.2302544	19.684071	28.295851	130.39259	75.748299	31.382772	67887	80.099998	.50384337	34.599998	4530	30442	38790	34.900002	2.2
27	17.01123	2.2628529	22.628531	45.257061	109.01468	103.20916	8.5711832	33363	90.699997	.55253261	45.299999	2224	14629	18124	39.799999	.1
17	17.023424	0	0	11.67815	193.31882	87.424431	0	14153	97	.62174577	53.200001	892	5877	8064	33	.69999999
20	17.025202	.57644862	15.564113	28.245981	125.91336	69.299469	9.4124737	184006	88.800003	.54968888	49.200001	11929	81004	103876	67.900002	.40000001
23	17.027657	2.6446631	10.578652	26.44663	107.30544	68.861359	7.2025352	58452	88.699997	.56711829	34.900002	4104	27310	29898	25.5	1.3
17	17.056438	0	36.363636	72.727272	172.00526	126.37122	0	9658	95.099998	.60557872	46	635	3836	5896	28.799999	.30000001
15	17.058165	3.1960113	0	9.5880337	126.75415	78.488335	4.8761458	33756	89.800003	.54342383	49.299999	2203	14773	19103	47.900002	0
33	17.072372	2.0590961	12.354576	20.590961	144.14828	63.378082	37.835793	43675	85.300003	.56089038	40.299999	2977	20036	24524	33.5	1.9
36	17.110064	2.9677112	11.870845	38.580246	105.09228	78.260208	5.1695614	30291	94.199997	.57063836	46.299999	1891	13378	16470	38.299999	0
15	17.111742	.9251036	19.427176	31.453524	121.37834	88.287186	4.3077455	110863	86.400002	.54592294	40.900002	6888	53960	58892	69.900002	5.1999998
48	17.120895	3.0709701	21.49679	39.922611	101.8465	103.9683	0	23103	95.800003	.6051966	54.400002	1453	11469	11907	74.599998	5.3000002
51	17.132113	0	20.64303	25.803787	190.11032	129.59077	17.580872	19003	93.099998	.60712904	46.200001	1228	7743	11382	61.400002	.2
38	17.148996	2.0802131	20.80213	35.363621	149.65186	99.672707	0	44681	94	.57334763	46.799999	2870	19578	25197	51.700001	.60000002
5	17.154062	0	8.0860357	32.344143	108.81592	134.41966	14.160295	11813	93.599998	.58765972	44.599998	811	5008	6734	23.4	2
33	17.169107	0	16.506758	41.266895	104.78275	59.210571	7.6628351	37861	90.900002	.55811459	44.299999	2416	17715	20177	30.1	.5
33	17.184029	2.5160902	17.561283	34.249634	129.18378	74.708214	.077345259	2642661	83.800003	.48893452	32.400002	146495	1117031	1611158	100	14.1
6	17.186859	0	27.397261	27.397261	173.73062	118.00571	0	4882	95.400002	.62601185	48.400002	321	1853	2619	0	0
50	17.198593	0	29.778698	40.749798	110.49911	63.020691	2.4797897	62685	90.300003	.52745032	32.900002	4010	27741	35978	46.799999	.40000001
33	17.212749	.69869483	12.576507	23.056931	108.27371	55.423279	5.3815522	89643	88.5	.57601339	39.799999	5551	39447	50351	48.200001	.89999998
23	17.22728	0	25.584507	43.29686	119.27942	78.934906	7.4738417	42346	84.300003	.54133546	42.700001	2806	18870	23684	37.799999	1.5
47	17.240761	0	0	0	182.20744	95.658905	0	89197	75.199997	.4106634	32	340	2457	2976	100	6.5
23	17.257803	0	24.524229	34.333923	117.00748	78.845047	0	31850	88.800003	.55462015	41.5	2174	14729	17110	20.1	.1
22	17.27095	3.3918772	18.090012	34.823273	188.56659	88.988274	4.7559409	797515	82.800003	.50806993	44.400002	43031	341142	475267	100	8
15	17.27187	0	6.559958	22.959852	147.4084	79.237549	0	32446	90.900002	.52630478	49.599998	1816	14313	18111	44.299999	.60000002
51	17.287714	11.622501	46.490005	58.112507	122.70612	126.369	0	9010	83.099998	.47104332	53.299999	673	4524	4364	65.400002	.40000001
16	17.34293	0	9.8016796	32.672264	132.85522	66.219376	4.4984255	35153	91	.54185271	44.700001	2315	15901	19915	43.599998	.1
16	17.352285	2.6271544	10.508617	21.017235	154.46515	74.5345	3.0973177	47619	90.800003	.55560243	48.400002	2893	21321	26483	59.400002	.69999999
23	17.352564	1.1108519	14.441075	21.106186	94.743164	63.787476	3.7411149	37981	90.199997	.57649893	43	2691	17863	20014	12.7	.60000002
33	17.363714	0	11.400233	28.500584	123.17554	80.331871	9.5565748	34391	87.199997	.55426514	34.099998	2295	14982	19386	34.700001	4.3000002
31	17.366385	1.1396877	12.916461	26.212818	119.7598	56.473885	3.1824837	108166	89.199997	.51668745	40.400002	5782	46442	63151	35.700001	3.0999999
33	17.37491	0	21.879444	38.289028	154.41042	71.449554	4.6104198	34645	87.5	.55332768	36.799999	2203	15311	20112	31.700001	2.3
38	17.389313	0	14.436264	28.872528	184.34486	127.62337	0	6742	94.099998	.49953315	49.200001	399	3213	3633	52.200001	.1
36	17.400335	0	11.892993	24.529297	138.06026	71.128304	1.158856	130833	90.099998	.54517204	41.400002	7687	59849	72923	71.699997	9.3000002
15	17.406195	5.2521009	18.382353	39.390755	133.89148	80.657516	13.469828	33475	89.199997	.48712018	41.799999	2087	15567	18795	42	1.1
31	17.415398	1.7554947	33.354401	45.64286	125.94733	72.764191	2.7787039	58891	88.800003	.52718347	36.599998	3929	27296	32182	49.799999	15
14	17.454018	6.0983047	9.1474571	21.344067	115.84609	77.481476	4.1030693	40778	88.699997	.51089984	38.799999	2462	18303	22372	36	2.3
5	17.459381	6.7301545	23.55554	50.476158	136.37018	106.79591	6.0782886	25677	94.199997	.59331429	46.299999	1810	11547	14011	40.299999	.2
37	17.462149	0	17.686594	35.373188	132.55022	102.84069	0	6969	95.099998	.56863999	38.799999	543	3125	3950	0	0
39	17.521711	4.5007539	18.003016	24.754147	113.95977	87.70726	11.994722	55117	88.400002	.53940427	42.700001	3340	23500	31492	42.5	.1
17	17.556929	0	15.395273	21.168501	145.30511	77.382858	5.4007344	60092	85.800003	.54855889	48.200001	3742	26473	32841	63.599998	2
23	17.562685	0	13.614241	13.614241	95.611633	74.53595	4.8933253	28060	92.400002	.57184643	35.099998	1922	13675	14271	51.400002	0
