tabroad	tdomestic	tinkind	tgifts	income	wage	entrepreneourial	rental	interest	pension	dividend	primary	somesecondary	secondary	someuniversity	university	age	female	married	child1	child7	child15	size	bothwork	notemployed	marriedf	region	transfers
0	0	415	0	33888	31488	0	0	0	0	0	1	0	0	0	0	38	0	1	0	3	1	8	0	0	0	0	415
0	0	6161	0	45191	42647	0	0	0	0	0	0	0	0	0	0	57	1	0	0	3	5	16	0	0	0	0	6161
0	0	3010	0	13200	13200	0	0	0	0	0	0	0	1	0	0	35	0	1	0	1	2	5	0	0	0	0	3010
0	0	0	0	32000	18000	0	0	0	0	0	0	0	1	0	0	71	1	0	0	0	2	6	0	1	0	0	0
0	0	600	0	25200	25200	0	0	0	0	0	0	0	0	1	0	51	0	1	0	0	0	3	0	0	0	0	600
0	0	2900	0	12500	12000	0	0	0	0	0	0	0	1	0	0	51	0	1	0	0	1	6	0	0	0	0	2900
0	0	204	0	109800	85800	0	0	0	0	0	0	0	1	0	0	57	0	1	0	0	0	7	0	0	0	0	204
0	150	0	0	18980	14400	0	0	0	0	0	1	0	0	0	0	40	0	0	0	0	3	5	0	0	0	0	150
7000	0	2960	0	8400	8400	0	0	0	0	0	0	1	0	0	0	51	0	1	0	0	0	5	0	0	0	0	9960
0	0	0	0	20450	20450	0	0	0	0	0	0	1	0	0	0	55	0	1	0	1	2	9	0	0	0	0	0
0	0	9384	0	4800	4800	0	0	0	0	0	1	0	0	0	0	46	0	1	0	0	1	5	0	0	0	0	9384
0	0	350	0	62400	56400	0	0	0	0	0	0	0	0	1	0	53	0	1	0	0	2	7	1	0	0	0	350
0	0	1790	0	15600	15600	0	0	0	0	0	0	1	0	0	0	23	0	1	1	0	0	3	0	0	0	0	1790
0	0	680	0	20405	18605	0	0	0	0	0	0	0	1	0	0	28	0	1	0	3	1	6	0	0	0	0	680
0	0	770	0	17502	0	17502	0	0	0	0	0	0	1	0	0	29	0	1	1	2	1	6	1	0	0	0	770
0	284	531	0	27362	6600	17762	0	0	0	0	0	0	0	0	0	67	0	1	0	1	1	6	1	0	0	0	815
0	0	730	0	19635	19635	0	0	0	0	0	0	0	1	0	0	37	0	1	0	2	2	6	0	0	0	0	730
0	2000	100	0	18360	12960	5400	0	0	0	0	0	0	1	0	0	49	0	1	0	0	0	7	1	0	0	0	2100
0	0	840	0	22680	22680	0	0	0	0	0	0	0	1	0	0	29	0	1	0	2	0	4	1	0	0	0	840
0	0	0	500	43920	39820	0	0	0	0	0	1	0	0	0	0	49	0	1	0	0	3	7	0	0	0	0	-500
0	0	0	0	32120	32120	0	0	0	0	0	0	1	0	0	0	32	0	1	0	0	2	4	0	0	0	0	0
18500	0	0	0	18000	0	0	0	0	43200	0	0	0	0	1	0	61	0	1	0	0	0	7	0	1	0	0	18500
0	0	0	0	75288	9216	54072	0	0	0	0	0	0	0	0	0	56	0	1	0	0	1	9	0	0	0	0	0
0	0	0	0	155338	22900	7038	0	0	0	0	0	0	1	0	0	35	0	1	0	0	2	5	0	0	0	0	0
0	0	0	0	59670	37754	21916	0	0	10800	0	0	1	0	0	0	46	1	0	0	1	1	7	0	0	0	0	0
0	0	0	0	124354	42720	81634	0	0	0	0	0	0	0	0	0	59	0	1	0	3	2	11	0	0	0	0	0
0	0	0	0	49510	0	49510	0	0	0	0	0	0	1	0	0	42	0	1	0	0	1	3	0	0	0	0	0
0	0	0	0	16421	0	16421	0	0	0	0	0	0	0	1	0	49	0	1	0	0	3	7	0	0	0	0	0
0	0	1644	1000	48328	46300	0	0	500	0	0	0	0	1	0	0	36	0	1	0	0	1	3	1	0	0	0	644
14700	1500	53618	350	48650	35700	0	0	3000	0	0	0	0	0	1	0	80	0	1	0	0	0	5	0	1	0	0	69468
0	0	17465	3200	62900	41200	0	18000	500	0	0	0	0	0	0	1	36	0	0	0	0	0	2	0	0	0	0	14265
0	0	815	600	40900	40000	0	0	0	0	0	0	0	0	1	0	28	0	1	0	1	0	3	1	0	0	0	215
0	1700	1358	500	44180	26400	0	17280	0	7200	0	0	0	0	0	1	47	1	0	0	1	4	8	0	0	0	0	2558
0	1000	1034	0	52949	11400	29489	12000	0	0	0	0	0	1	0	0	47	0	1	2	1	2	15	1	0	0	0	2034
0	500	778	0	46450	34400	0	12000	0	0	0	0	0	0	1	0	30	0	1	0	1	0	4	0	0	0	0	1278
0	3000	448	0	19920	19920	0	0	0	0	0	0	1	0	0	0	19	1	0	1	0	0	3	0	0	0	0	3448
0	0	124	500	37816	25300	5816	0	200	0	0	0	1	0	0	0	29	1	0	0	0	1	3	0	1	0	0	-376
0	0	200	0	35380	35100	0	0	0	0	0	0	0	0	1	0	24	0	1	0	2	0	4	0	0	0	0	200
0	0	0	0	45820	42220	0	0	0	0	0	0	0	0	1	0	30	0	1	1	1	2	6	1	0	0	0	0
0	0	0	0	136704	11280	115824	0	0	0	0	0	0	1	0	0	52	0	1	0	0	0	10	1	0	0	0	0
0	0	0	0	46946	0	40946	0	0	0	0	0	0	1	0	0	39	0	1	0	0	2	5	1	0	0	0	0
0	0	0	0	25653	23200	0	0	53	0	0	0	0	1	0	0	23	0	1	1	0	0	3	0	0	0	0	0
0	0	2400	0	21840	21840	0	0	0	0	0	0	0	1	0	0	33	0	1	1	0	2	5	0	0	0	0	2400
0	600	0	0	22800	21000	0	0	0	0	0	0	0	1	0	0	70	1	1	0	0	0	7	0	1	1	0	600
0	0	0	100	42628	40020	0	0	108	0	0	0	0	1	0	0	49	0	1	0	1	2	12	0	0	0	0	-100
24000	1000	738	0	4200	0	0	0	0	0	0	0	0	1	0	0	39	1	1	0	0	1	2	0	1	1	0	25738
48000	0	350	0	0	0	0	0	0	0	0	0	0	0	1	0	33	1	1	0	1	0	4	0	1	1	0	48350
0	2500	864	0	25988	7988	0	0	0	0	0	0	0	1	0	0	39	0	1	0	2	0	4	0	0	0	0	3364
39600	0	4200	350	18350	0	0	0	0	0	0	0	1	0	0	0	56	0	1	0	1	0	4	0	1	0	0	43450
36000	0	175	0	16784	0	16784	0	0	0	0	1	0	0	0	0	46	0	1	0	0	2	6	1	0	0	0	36175
0	0	0	0	128004	0	110004	0	0	0	0	0	0	0	1	0	44	0	1	0	0	1	8	1	0	0	0	0
0	0	0	0	36503	36503	0	0	0	0	0	0	1	0	0	0	40	0	1	0	1	3	6	1	0	0	0	0
3000	0	0	0	24900	24900	0	0	0	0	0	1	0	0	0	0	29	0	1	1	0	0	3	0	0	0	0	3000
24000	0	0	0	43298	0	16898	14400	0	0	0	0	0	1	0	0	75	1	0	0	0	2	6	0	1	0	0	24000
0	0	0	0	62004	38400	23604	0	0	13200	0	1	0	0	0	0	69	0	1	0	0	1	8	1	0	0	0	0
0	0	0	0	42400	0	42400	0	0	0	0	0	0	1	0	0	25	1	0	0	3	1	7	0	0	0	0	0
0	0	0	0	90000	90000	0	0	0	0	0	0	0	0	0	1	49	0	1	1	1	0	4	1	0	0	0	0
36000	0	0	0	218880	93600	125280	0	0	12000	0	1	0	0	0	0	64	0	0	1	5	3	23	0	0	0	0	36000
0	0	0	0	62000	0	62000	0	0	0	0	0	0	1	0	0	34	0	1	1	1	3	8	0	0	0	0	0
18000	0	0	0	17290	17290	0	0	0	0	0	0	0	0	0	0	34	0	1	0	1	1	4	1	0	0	0	18000
0	0	50	0	72300	72300	0	0	0	0	0	0	0	0	1	0	31	0	0	0	0	0	4	0	0	0	0	50
0	0	1796	0	65000	65000	0	0	0	0	0	0	0	0	0	1	41	0	1	1	0	0	4	0	0	0	0	1796
67000	0	6730	120	76112	58934	16574	0	0	0	0	0	0	0	0	1	29	1	1	0	1	1	5	0	0	1	0	73610
24000	0	3346	0	26000	26000	0	0	0	0	0	0	0	0	1	0	33	1	1	0	1	1	4	0	0	1	0	27346
0	0	0	0	32480	30080	0	0	0	0	0	0	0	0	1	0	37	0	1	0	1	3	7	0	0	0	0	0
2000	0	0	0	81000	65000	0	6400	0	0	0	0	0	0	0	1	23	0	1	0	1	0	5	1	0	0	0	2000
0	0	4372	0	97500	97500	0	0	0	0	0	0	0	0	0	1	36	0	1	0	2	0	7	1	0	0	0	4372
0	0	2998	350	102760	43400	27350	0	1000	19200	0	0	0	0	1	0	76	0	0	0	0	0	4	0	1	0	0	2648
0	0	510	500	126600	124100	0	0	2000	0	0	0	1	0	0	0	66	0	0	0	0	0	5	0	1	0	0	10
0	0	2666	0	94584	24300	37640	9600	100	0	0	0	0	0	0	1	40	0	1	0	0	3	6	1	0	0	0	2666
0	500	341	0	65440	58440	0	0	0	0	0	0	0	1	0	0	54	0	1	0	0	0	5	0	0	0	0	841
0	5400	1830	400	24660	24260	0	0	0	0	0	0	1	0	0	0	29	1	0	0	0	2	4	0	0	0	0	6830
0	0	848	0	17700	17400	0	0	0	0	0	0	0	1	0	0	46	0	1	0	0	1	5	0	0	0	0	848
0	0	180	0	30040	30040	0	0	0	0	0	1	0	0	0	0	42	0	1	0	0	3	6	0	0	0	0	180
0	0	890	0	54200	9900	44300	0	0	0	0	1	0	0	0	0	35	0	1	0	2	0	5	1	0	0	0	890
0	0	499	0	68060	68060	0	0	0	0	0	0	0	0	0	1	31	0	1	0	1	0	4	1	0	0	0	499
0	0	1610	0	13500	0	0	0	0	168000	0	0	0	1	0	0	25	0	1	0	0	6	10	0	1	0	0	1610
60000	0	4690	0	16450	16450	0	0	0	0	0	0	0	0	1	0	45	1	1	0	0	2	5	0	0	1	0	64690
0	6200	4500	0	0	0	0	0	0	0	0	0	0	0	0	1	24	0	0	0	0	0	6	0	1	0	0	10700
0	0	0	0	10579	0	10579	0	0	0	0	0	1	0	0	0	50	0	1	0	0	0	6	1	0	0	0	0
8700	0	859	0	11166	0	9626	220	0	0	0	0	0	1	0	0	63	0	1	0	0	0	3	1	1	0	0	9559
0	0	480	0	26010	26010	0	0	0	0	0	0	0	1	0	0	58	0	0	0	1	1	4	0	1	0	0	480
0	42000	450	0	0	0	0	0	0	0	0	0	0	0	0	1	23	1	0	0	0	0	5	0	1	0	0	42450
0	0	0	0	63390	51390	0	0	0	0	0	0	0	1	0	0	48	0	1	0	1	2	8	0	0	0	0	0
0	0	0	0	39800	21800	0	0	0	0	0	0	1	0	0	0	40	0	1	0	0	4	6	0	0	0	0	0
0	0	0	0	43592	36392	0	0	0	0	0	0	0	0	1	0	34	0	1	0	0	3	5	0	0	0	0	0
0	0	0	0	128000	110000	0	0	0	7200	0	0	0	0	1	0	37	0	1	0	1	2	9	0	0	0	0	0
0	0	0	0	62000	62000	0	0	0	0	0	0	0	0	0	1	31	0	1	0	2	1	6	1	0	0	0	0
0	0	0	0	101200	81400	0	0	0	14800	0	0	0	0	1	0	53	0	1	0	0	1	8	0	0	0	0	0
7500	0	0	0	26900	26900	0	0	0	0	0	0	0	0	1	0	44	0	1	0	2	0	4	0	0	0	0	7500
0	0	159	0	15630	15630	0	0	0	0	0	0	0	1	0	0	29	0	1	1	0	0	3	0	0	0	0	159
0	0	208	50	72114	35680	0	6000	0	0	0	0	0	0	1	0	37	0	1	0	1	1	4	1	0	0	0	158
65000	5000	80	0	30000	30000	0	0	0	0	0	0	0	1	0	0	60	1	0	0	0	0	3	0	1	0	0	70080
10000	0	0	0	41700	0	0	11700	0	4800	0	0	0	0	0	1	73	0	0	0	0	0	4	0	1	0	0	10000
24000	0	156	0	0	0	0	0	0	0	0	0	0	1	0	0	25	1	1	0	2	0	6	0	1	1	0	24156
0	0	0	6500	70500	46000	0	0	0	0	0	0	0	0	0	1	35	1	0	0	0	0	1	0	0	0	0	-6500
1000	12600	2158	0	0	0	0	0	0	0	0	0	0	0	1	0	22	0	0	0	0	0	1	0	1	0	0	15758
0	0	0	0	58800	52800	0	0	0	0	0	0	0	1	0	0	46	0	1	0	0	2	4	1	0	0	0	0
6000	0	0	4000	24608	20608	0	0	0	0	0	0	0	0	1	0	33	0	1	0	1	0	3	0	0	0	0	2000
6061	0	360	0	44940	33100	11840	0	0	0	0	0	0	0	1	0	39	0	1	0	2	0	4	1	0	0	0	6421
0	0	270	150	63150	57000	0	0	0	0	0	0	0	0	1	0	35	0	1	0	2	2	6	0	0	0	0	120
0	0	0	0	57370	57300	0	0	0	6000	0	0	0	1	0	0	30	0	1	0	2	0	4	1	0	0	0	0
0	1400	6460	850	25966	18600	0	0	0	0	0	0	1	0	0	0	52	1	1	0	0	2	6	0	1	1	0	7010
0	0	0	0	33200	24800	0	0	0	0	0	1	0	0	0	0	37	1	0	0	0	0	2	0	0	0	0	0
0	0	0	0	53388	47388	0	0	0	0	0	0	0	1	0	0	47	0	1	0	1	1	9	1	1	0	0	0
0	0	1386	0	43100	43100	0	0	0	0	0	0	0	0	1	0	61	0	1	0	0	2	7	0	0	0	0	1386
0	0	225	0	31200	28800	0	0	0	0	0	0	0	0	1	0	24	0	1	0	1	0	3	0	0	0	0	225
8000	0	315	0	46400	24800	0	0	0	0	0	1	0	0	0	0	34	0	1	0	1	1	5	0	0	0	0	8315
8000	4000	0	0	29840	25040	0	0	0	0	0	1	0	0	0	0	59	1	0	0	0	0	7	0	1	0	0	12000
74000	0	2101	0	1500	0	0	0	1500	0	0	0	0	0	1	0	26	1	1	0	2	0	6	0	1	1	0	76101
0	0	930	0	39440	39440	0	0	0	6000	0	0	0	1	0	0	35	0	1	0	1	3	8	0	0	0	0	930
0	1000	0	0	57436	25300	27336	0	0	0	0	0	1	0	0	0	56	0	1	0	1	2	10	0	0	0	0	1000
0	0	24	0	21300	16500	0	0	0	3300	0	0	0	1	0	0	35	0	1	2	0	0	5	0	0	0	0	24
0	6500	0	0	12463	6772	5691	0	0	0	0	0	1	0	0	0	39	0	1	1	2	3	8	1	0	0	0	6500
0	0	0	0	29000	26600	0	0	0	0	0	0	0	1	0	0	53	0	1	0	0	0	3	0	0	0	0	0
20000	0	0	0	170562	56500	81562	0	0	0	0	0	0	0	0	1	29	1	0	0	0	0	3	0	0	0	0	20000
24000	0	0	0	110409	110300	0	0	0	0	0	0	0	0	0	1	55	0	1	0	0	1	6	0	0	0	0	24000
0	93600	2200	0	0	0	0	0	0	0	0	0	0	0	1	0	28	1	0	0	0	0	5	0	1	0	0	95800
20000	1200	3642	0	148000	94000	0	0	0	0	0	0	0	0	0	1	25	1	0	0	0	0	5	0	0	0	0	24842
0	1500	0	0	20378	0	0	0	0	30000	0	0	0	0	1	0	70	0	1	0	1	4	13	0	1	0	0	1500
0	7800	7657	0	22720	22720	0	0	0	0	0	0	1	0	0	0	49	0	1	0	0	2	7	0	0	0	0	15457
0	0	600	0	43800	43800	0	0	0	17880	0	0	0	1	0	0	79	0	0	0	0	0	6	0	1	0	0	600
49000	0	53952	0	64604	58604	0	0	0	0	0	0	0	1	0	0	58	0	1	0	1	3	8	0	1	0	0	102952
0	0	0	0	16800	16800	0	0	0	0	0	1	0	0	0	0	26	0	1	0	0	0	2	0	0	0	0	0
0	1500	0	0	31400	31000	0	0	0	0	0	0	0	1	0	0	27	0	1	1	0	0	3	0	0	0	0	1500
36000	0	17250	0	19650	19500	0	0	0	0	0	0	1	0	0	0	51	1	1	0	3	1	9	0	1	1	0	53250
0	1000	650	0	30360	26460	0	0	0	0	0	0	1	0	0	0	30	0	1	0	1	2	5	0	0	0	0	1650
0	0	0	0	26000	26000	0	0	0	0	0	1	0	0	0	0	38	0	1	0	2	2	7	0	0	0	0	0
96000	0	2760	0	0	0	0	0	0	0	0	0	0	1	0	0	45	1	1	0	0	1	3	0	1	1	0	98760
0	3000	770	0	35750	29500	0	0	0	0	0	0	0	1	0	0	46	0	1	0	1	2	8	0	0	0	0	3770
0	0	260	0	22620	21900	0	0	0	0	0	0	0	0	1	0	33	0	1	0	1	0	3	0	0	0	0	260
0	0	1442	0	33000	30000	0	0	0	0	0	0	0	0	1	0	54	0	1	0	0	2	6	0	0	0	0	1442
0	0	1220	0	32000	32000	0	0	0	6000	0	0	0	0	0	1	61	1	0	0	0	0	4	0	0	0	0	1220
0	0	720	1000	83020	74100	0	6000	1920	0	0	0	0	0	0	1	40	1	0	0	0	0	3	0	0	0	0	-280
0	0	0	0	175180	175180	0	0	0	0	0	0	0	0	0	1	54	0	1	0	0	0	5	0	0	0	0	0
0	0	0	0	122300	69000	53300	0	0	0	0	0	0	1	0	0	57	0	1	0	0	2	7	0	0	0	0	0
0	0	0	0	49000	31000	18000	0	0	0	0	0	0	0	1	0	58	0	1	0	2	0	5	1	0	0	0	0
57750	0	3062	0	0	0	0	0	0	0	0	0	0	1	0	0	42	0	1	0	0	2	7	0	1	0	0	60812
2100	0	0	0	17350	16450	0	0	0	0	0	0	0	1	0	0	67	1	0	0	0	0	3	0	0	0	0	2100
0	14100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	1	0	0	0	0	1	0	1	0	0	14100
21000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	1	1	0	1	0	2	0	1	1	0	21000
0	0	654	0	15960	0	14760	0	0	0	0	0	1	0	0	0	36	0	1	0	2	0	5	0	0	0	0	654
12000	0	2622	0	72600	66000	0	0	0	0	0	0	0	0	1	0	57	0	1	0	0	1	6	1	1	0	0	14622
18000	0	1067	0	18076	15036	0	0	0	0	0	1	0	0	0	0	40	0	1	0	0	2	6	1	1	0	0	19067
0	0	60	0	140480	130800	0	0	0	0	0	1	0	0	0	0	58	1	0	0	0	0	5	0	1	0	0	60
0	0	42	0	22707	0	22707	0	0	0	0	0	0	0	0	0	57	1	0	0	1	0	5	0	0	0	0	42
12600	0	0	0	21600	21600	0	0	0	0	0	0	0	0	0	1	45	1	0	0	0	1	4	0	0	0	0	12600
0	6000	1900	0	85800	61800	0	0	0	0	0	0	0	0	0	1	45	1	0	0	0	2	10	0	0	0	0	7900
0	2400	1900	0	84678	49280	17398	0	0	0	0	0	0	0	1	0	61	0	1	0	1	0	8	0	0	0	0	4300
0	0	0	0	80462	0	80462	0	0	0	0	0	0	0	0	1	39	0	1	1	2	2	7	0	0	0	0	0
0	4300	0	0	38000	26000	0	0	0	0	0	0	0	1	0	0	37	0	1	0	1	0	4	0	0	0	0	4300
53000	0	0	0	15650	15400	0	0	250	0	0	0	0	0	1	0	30	1	1	0	1	1	5	0	0	1	0	53000
28000	0	528	0	15000	15000	0	0	0	0	0	1	0	0	0	0	51	1	0	1	1	0	8	0	1	0	0	28528
0	3000	0	0	12913	12913	0	0	0	0	0	0	0	1	0	0	50	1	0	0	2	0	5	0	1	0	0	3000
0	0	0	0	32437	22837	0	0	0	0	0	0	0	1	0	0	55	0	1	0	0	1	7	0	1	0	0	0
0	4200	0	0	22776	0	4776	0	0	0	0	0	0	0	1	0	36	0	1	1	1	0	6	0	0	0	0	4200
0	0	720	0	54020	27020	0	0	0	0	0	0	0	0	0	1	63	0	1	0	0	0	8	0	1	0	0	720
60000	0	0	0	32600	18000	0	0	200	0	0	0	0	0	1	0	43	1	1	0	0	0	4	0	1	1	0	60000
67500	0	0	0	14800	0	0	0	400	0	0	0	0	1	0	0	29	1	1	0	2	2	5	0	1	1	0	67500
0	0	220	0	44400	32400	0	0	0	0	0	1	0	0	0	0	63	0	0	0	1	0	4	0	0	0	0	220
0	0	0	0	28800	28800	0	0	0	0	0	0	0	1	0	0	49	0	1	0	0	0	2	0	0	0	0	0
0	0	240	0	38676	38556	0	0	120	0	0	0	0	0	1	0	46	0	1	0	0	0	5	1	1	0	0	240
6000	4000	0	0	27600	27600	0	0	0	0	0	0	0	1	0	0	32	0	1	0	0	2	4	0	0	0	0	10000
3062	0	185	0	39850	16000	5250	18600	0	0	0	0	0	1	0	0	26	0	1	1	0	0	4	0	0	0	0	3247
3531	0	0	3000	32362	29362	0	0	0	0	0	1	0	0	0	0	50	1	0	0	0	0	6	0	1	0	0	531
0	0	0	3240	131964	128664	0	0	60	0	0	0	0	0	1	0	45	0	1	0	0	0	7	0	0	0	0	-3240
2400	0	249	3000	70800	58200	0	0	0	0	0	0	0	0	0	1	31	0	1	1	1	0	4	0	0	0	0	-351
7700	0	685	0	29930	12350	7980	0	0	0	0	0	1	0	0	0	64	1	0	0	0	1	4	0	0	0	0	8385
0	0	43	0	42470	42470	0	0	0	0	0	0	0	0	1	0	33	0	1	0	3	3	8	1	0	0	0	43
0	0	0	3000	131050	128050	0	0	0	0	0	0	0	1	0	0	52	0	1	1	3	0	8	1	0	0	0	-3000
27000	0	0	0	21700	21600	0	0	100	0	0	1	0	0	0	0	64	0	1	0	0	0	6	0	1	0	0	27000
18000	0	300	1000	20000	19000	0	0	0	0	0	0	0	0	0	1	36	0	1	0	0	2	4	0	0	0	0	17300
0	0	0	0	0	0	0	0	0	24000	0	0	0	1	0	0	60	1	1	0	0	0	2	0	1	1	0	0
24000	0	0	0	12739	12739	0	0	0	0	0	0	0	1	0	0	36	1	1	0	0	3	5	0	0	1	0	24000
0	3000	0	0	23621	23621	0	0	0	0	0	0	0	0	1	0	29	0	1	0	0	0	2	0	0	0	0	3000
36000	0	590	3000	15821	12821	0	0	0	0	0	0	0	1	0	0	37	0	1	0	1	2	6	0	0	0	0	33590
