year	emp	wage	cap	indoutpt	n	w	k	ys	id
1981	3.0899999	25.955299	1.0635999	98.232399	1.1281711	3.2563758	.061659329	4.5873361	10
1982	3.2620001	26.0361	1.0958	99.763496	1.1823405	3.2594841	.091484725	4.6028023	10
1976	1.359	23.061399	.40990001	104.7664	.30674911	3.1381602	-.89184201	4.6517329	11
1977	1.346	20.227501	.57410002	107.4791	.2971372	3.0070431	-.55495167	4.6772966	11
1978	1.3380001	22.143499	.55629998	108.9188	.29117599	3.097544	-.5864476	4.6906028	11
1979	1.353	22.549601	.51450002	111.5591	.30232438	3.1157174	-.66455966	4.7145543	11
1980	1.2640001	22.5875	.58950001	100	.23428135	3.1173966	-.52848053	4.6051702	11
1981	1.158	25.9585	.48469999	99.3965	.14669438	3.2564991	-.72422516	4.5991168	11
1982	1.175	24.0345	.4359	99.293098	.1612681	3.1794903	-.83034241	4.5980759	11
1976	1.78	34.299099	.25690001	104.7664	.57661337	3.5351191	-1.3590683	4.6517329	12
1977	1.643	30.3979	.20720001	107.4791	.49652386	3.4143734	-1.5740707	4.6772966	12
1978	1.39	31.143101	.1999	108.9188	.32930374	3.4385927	-1.609938	4.6906028	12
1979	1.35	33.310501	.2007	111.5591	.30010462	3.5058727	-1.605944	4.7145543	12
1980	1.082	30.214701	.1473	100	.078811198	3.4083285	-1.9152839	4.6051702	12
1981	.77999997	29.7414	.1158	99.3965	-.2484614	3.39254	-2.1558907	4.5991168	12
1982	.68000001	31.123501	.1036	99.293098	-.38566247	3.4379632	-2.2672179	4.5980759	12
1976	2.3529999	22.383301	.57849997	125.8064	.85569108	3.1083152	-.54731679	4.834744	13
1977	2.3859999	23.060699	.56129998	127.9649	.8696183	3.1381299	-.57749981	4.8517561	13
1978	2.375	23.493099	.5273	125.4294	.86499745	3.1567068	-.63998562	4.8317432	13
1979	2.415	26.0042	.51800001	125.0259	.88169926	3.2582581	-.65778005	4.8285208	13
1980	2.266	24.167101	.46079999	106.3044	.81801617	3.1849923	-.77479118	4.6663065	13
1981	1.777	26.057301	.375	98.072899	.5749265	3.260298	-.98082924	4.585711	13
1982	1.5369999	28.7064	.31470001	96.867401	.42983243	3.35712	-1.1561354	4.5733433	13
1978	3.165	20.911301	.39019999	127.3866	1.152153	3.0402896	-.94109589	4.8472266	14
1979	3.096	21.8887	.43110001	124.6424	1.130111	3.0859706	-.84141517	4.825449	14
1980	2.9909999	23.701	.4228	118.9132	1.0956078	3.1655173	-.860856	4.7783937	14
1981	2.6919999	21.3925	.38100001	99.357597	.99028438	3.0630405	-.96495587	4.5987253	14
1982	2.175	25.523701	.30509999	97.242798	.77702862	3.2396076	-1.1871157	4.5772109	14
1983	1.801	25.7211	.2041	97.194397	.58834207	3.2473116	-1.5891452	4.5767131	14
1984	1.428	25.645201	.16850001	99.986198	.35627484	3.2443564	-1.7808195	4.605032	14
1977	7.2199998	22.5898	1.8498	105.3355	1.9768549	3.1174984	.6150775	4.6571507	15
1978	7.3210001	22.054899	1.9215	108.1833	1.990747	3.0935347	.65310609	4.6838269	15
1979	7.0970001	22.290199	2.1854999	110.6984	1.9596722	3.1041472	.78184462	4.7068095	15
1980	7.2010002	20.680799	2.4345	105.9673	1.9742199	3.0292058	.88974136	4.6631308	15
1981	6.6020002	21.615101	2.1255	96.593102	1.8873726	3.0733922	.75400704	4.5705075	15
1982	5.3109999	23.1551	1.5594	92.001297	1.6697801	3.142215	.4443011	4.5218029	15
1983	5.3940001	25.099899	1.3576	92.248802	1.6852872	3.2228639	.30571842	4.5244894	15
1976	2.757	29.3517	.91750002	116.4	1.0141431	3.3793504	-.086102679	4.7570324	16
1977	2.632	27.0686	.86129999	115.7	.96774399	3.2983744	-.14931241	4.7510004	16
1978	2.6470001	27.2752	.85189998	112.8	.97342694	3.3059778	-.16028616	4.7256165	16
1979	2.687	26.6444	.52770001	108.9	.98842531	3.2825789	-.63922733	4.6904302	16
1980	2.4170001	25.3591	.5262	100	.88252711	3.2331376	-.64207393	4.6051702	16
1981	2.2179999	25.2731	.56599998	89.199997	.79660589	3.2297406	-.56916124	4.490881	16
1982	2.1059999	27.444599	.51120001	90.5	.74479038	3.3121693	-.67099434	4.5053496	16
1977	1.09	23.9352	.12819999	127.164	.086177729	3.1753502	-2.0541637	4.8454776	17
1978	1.1440001	22.613899	.1393	127.3866	.13453095	3.1185648	-1.9711254	4.8472266	17
1979	1.1950001	23.080099	.1795	124.6424	.17814623	3.1389709	-1.7175801	4.825449	17
1980	1.2589999	25.034599	.18350001	118.9132	.23031771	3.220259	-1.6955405	4.7783937	17
1981	1.319	24.258699	.17309999	99.357597	.27687389	3.1887753	-1.7538859	4.5987253	17
1982	1.188	28.4659	.1471	97.242798	.17227119	3.348707	-1.9166427	4.5772109	17
1983	1.163	29.4594	.1246	97.194397	.15100287	3.383013	-2.0826466	4.5767131	17
1977	7.4070001	29.968901	1.1694	116.225	2.0024254	3.4001603	.15649077	4.755528	18
1978	7.3920002	26.261101	1.2643	114.975	2.0003984	3.2680888	.2345186	4.7447147	18
1979	7.198	25.7528	1.3536	111.825	1.9738032	3.2485433	.30276772	4.7169352	18
1980	6.8720002	24.319799	1.5671999	106.675	1.9274552	3.1912909	.44929054	4.6697869	18
1981	6.131	24.3181	1.3429	97.300003	1.8133578	3.191221	.29483148	4.5777988	18
1982	5.7849998	26.5473	1.1385	89.525002	1.7552683	3.278928	.12971158	4.4945178	18
1983	5.487	26.593	.96030003	89.599998	1.7023816	3.280648	-.040509515	4.4953551	18
1976	23.531	34.020401	5.4762001	116.4	3.1583188	3.5269604	1.7004114	4.7570324	19
1977	22.521	30.319099	5.0655999	115.7	3.1144483	3.411778	1.6224725	4.7510004	19
1978	21.865999	29.191999	5.0976	112.8	3.0849328	3.3738947	1.6287699	4.7256165	19
1979	21.066999	28.636499	5.7196002	108.9	3.0477078	3.3546822	1.7438989	4.6904302	19
1980	19.238001	29.714399	4.9972	100	2.9568875	3.3916318	1.6088778	4.6051702	19
1981	16.247999	31.3375	4.6638999	89.199997	2.7879698	3.4448154	1.539852	4.490881	19
1982	14.928	33.852798	4.1429	90.5	2.7032387	3.5220218	1.421396	4.5053496	19
1977	1.053	28.045	.13860001	116.225	.051643208	3.3338103	-1.9761631	4.755528	20
1978	1.117	26.5632	.16060001	114.975	.11064651	3.2795267	-1.8288385	4.7447147	20
1979	1.125	25.6042	.16949999	111.825	.11778303	3.2427564	-1.7749023	4.7169352	20
1980	1.04	25.6604	.2401	106.675	.039220676	3.2449489	-1.4266998	4.6697869	20
1981	.995	25.49	.2132	97.300003	-.0050125369	3.2382863	-1.5455246	4.5777988	20
1982	.92299998	25.537001	.2017	89.525002	-.080126069	3.2401285	-1.6009738	4.4945178	20
1983	.90799999	26.4244	.1876	89.599998	-.096510909	3.2742879	-1.6734432	4.4953551	20
1977	1.9910001	29.687	.42910001	116.225	.68863708	3.3907092	-.84606528	4.755528	21
1978	2.671	28.128401	.53780001	114.975	.98245293	3.3367798	-.62026852	4.7447147	21
1979	2.937	26.5734	.56919998	111.825	1.0773886	3.2799108	-.56352347	4.7169352	21
1980	3.0150001	25.546101	.65750003	106.675	1.1035999	3.2404847	-.41931048	4.6697869	21
1981	2.701	25.4198	.59719998	97.300003	.99362206	3.2355285	-.51550323	4.5777988	21
1982	1.817	27.2402	.49340001	89.525002	.5971868	3.3046939	-.70643508	4.4945178	21
1983	1.631	28.7047	.40419999	89.599998	.48919335	3.3570609	-.90584552	4.4953551	21
1976	1.4	28.5597	.1816	116.4	.33647221	3.3519967	-1.7059488	4.7570324	22
1977	1.4529999	25.001499	.18340001	115.7	.37363034	3.2189357	-1.6960857	4.7510004	22
1978	1.525	23.435801	.1812	112.8	.42199439	3.1542647	-1.7081538	4.7256165	22
1979	1.559	23.120199	.1997	108.9	.44404459	3.1407068	-1.610939	4.6904302	22
1980	1.548	23.26	.1858	100	.43696377	3.1467352	-1.6830845	4.6051702	22
1981	1.339	20.0583	.15109999	89.199997	.29192305	2.9986429	-1.8898134	4.490881	22
1982	1.031	21.144899	.132	90.5	.030529223	3.0513988	-2.0249534	4.5053496	22
1976	10.555	32.507	1.3305	116.4	2.3565998	3.4814556	.28555483	4.7570324	23
1977	10.095	28.9027	1.3557	115.7	2.3120403	3.363935	.30431795	4.7510004	23
1978	8.8999996	26.858299	1.5965	112.8	2.1860511	3.2905748	.46781376	4.7256165	23
1979	8.5389996	27.1607	1.2885	108.9	2.1446438	3.3017712	.25347871	4.6904302	23
1980	6.448	28.3155	1.1389	100	1.86377	3.3434093	.13006292	4.6051702	23
1981	5.4050002	26.8969	.87840003	89.199997	1.6873245	3.292011	-.12965317	4.490881	23
1982	4.7090001	29.211901	.76370001	90.5	1.5494756	3.3745761	-.26958022	4.5053496	23
1976	1.674	27.5898	.3863	116.4	.51521599	3.3174462	-.951141	4.7570324	24
1977	1.78	24.638599	.4104	115.7	.57661337	3.2043142	-.89062297	4.7510004	24
1978	1.817	23.638599	.49360001	112.8	.5971868	3.1628809	-.70602977	4.7256165	24
1979	1.795	23.511801	.49079999	108.9	.58500499	3.1575024	-.71171856	4.6904302	24
1980	1.715	23.696301	.4465	100	.53941309	3.165319	-.8063159	4.6051702	24
1981	1.295	22.0786	.34119999	89.199997	.25851065	3.0946088	-1.0752865	4.490881	24
1982	1.2079999	28.113899	.31569999	90.5	.18896605	3.3362641	-1.1529629	4.5053496	24
1976	.77200001	34.499802	.0616	116.4	-.2587707	3.5409536	-2.7870934	4.7570324	25
1977	.78799999	30.2071	.063600004	115.7	-.2382572	3.408077	-2.7551417	4.7510004	25
1978	.81999999	29.8638	.0704	112.8	-.19845095	3.396647	-2.6535621	4.7256165	25
1979	.82099998	28.6675	.095799997	108.9	-.19723219	3.3557642	-2.3454926	4.6904302	25
1980	.82800001	27.4259	.084299996	100	-.18874212	3.3114879	-2.4733734	4.6051702	25
1981	.81099999	23.242399	.068000004	89.199997	-.20948724	3.1459782	-2.6882474	4.490881	25
1982	.74199998	27.2418	.057	90.5	-.29840606	3.3047526	-2.8647039	4.5053496	25
1976	3.086	29.152	.50279999	116.4	1.1268758	3.3725235	-.68756282	4.7570324	26
1977	3.3010001	26.433201	.54619998	115.7	1.1942254	3.2746208	-.60477012	4.7510004	26
1978	3.3789999	26.1043	.60399997	112.8	1.2175798	3.2621	-.50418115	4.7256165	26
1979	3.319	24.9252	.5589	108.9	1.1996635	3.2158792	-.58178473	4.6904302	26
1980	3.1340001	25.307699	.58950001	100	1.1423101	3.2311087	-.52848053	4.6051702	26
1981	2.71	26.459499	.47549999	89.199997	.99694866	3.2756152	-.74338841	4.490881	26
1982	2.5050001	27.286301	.54369998	90.5	.91828877	3.3063848	-.60935771	4.5053496	26
1978	6.5749998	25.9762	1.7454	112.8	1.8832746	3.2571807	.55698371	4.7256165	27
1979	6.3769999	25.728001	1.8971	108.9	1.8526977	3.2475798	.64032638	4.6904302	27
1980	5.7519999	26.0471	1.6784	100	1.7495476	3.2599065	.51784098	4.6051702	27
1981	4.8699999	25.929701	1.5908999	89.199997	1.5830939	3.255389	.46429986	4.490881	27
1982	4.4050002	27.816401	1.4754	90.5	1.4827403	3.3256259	.38892913	4.5053496	27
1983	7.3340001	19.2866	1.439	86.900002	1.992521	2.9594107	.36394843	4.4647579	27
1984	7.145	32.038799	1.4052	87.400002	1.9664128	3.4669476	.34017965	4.4704952	27
1977	.61900002	13.2329	.033599999	93.949997	-.47964999	2.5827062	-3.3932292	4.5427628	28
1978	.72600001	13.6601	.039500002	98.199997	-.32020524	2.6144791	-3.2314546	4.5870061	28
1979	.773	14.4508	.043699998	102.5667	-.25747624	2.6707497	-3.1304071	4.6305132	28
1980	.70899999	14.4125	.057399999	102.0167	-.34389976	2.6680958	-2.8577111	4.6251364	28
1981	.65100002	15.0915	.054299999	99.491699	-.42924559	2.7141316	-2.9132311	4.6000743	28
1982	.52100003	16.374399	.044199999	94.258301	-.6520052	2.7957191	-3.1190305	4.5460391	28
1983	.49700001	17.137199	.0396	99.058296	-.69916523	2.8412516	-3.2289262	4.5957084	28
1977	1.11	28.0152	.1242	95.699997	.10436003	3.3327472	-2.0858622	4.5612183	29
1978	1.1390001	28.0714	.13940001	100.2	.13015074	3.3347514	-1.9704077	4.6071682	29
1979	1.196	28.7446	.1649	102.4	.17898265	3.3584499	-1.802416	4.6288867	29
1980	1.2359999	29.131701	.1593	101.1	.21188031	3.3718269	-1.836966	4.6161103	29
1981	1.054	29.630699	.1407	96.949997	.052592468	3.3888109	-1.9611254	4.5741954	29
1982	.93900001	30.7194	.1376	96.050003	-.062939785	3.4248943	-1.9834043	4.5648689	29
1983	.91100001	33.2514	.1401	103.35	-.093212366	3.504097	-1.9653988	4.6381211	29
1976	1.1289999	31.772301	.1638	116.4	.12133224	3.4585948	-1.8091091	4.7570324	30
1977	1.181	26.8608	.17380001	115.7	.16636153	3.290668	-1.74985	4.7510004	30
1978	1.176	26.100901	.20730001	112.8	.16211885	3.2619698	-1.5735883	4.7256165	30
1979	1.189	27.5408	.2105	108.9	.17311263	3.3156686	-1.5582696	4.6904302	30
1980	1.149	27.2342	.2121	100	.13889204	3.3044734	-1.5506974	4.6051702	30
1981	.95700002	24.664301	.1859	89.199997	-.043951869	3.2053568	-1.6825464	4.490881	30
1982	.89099997	24.8081	.1848	90.5	-.11541088	3.2111702	-1.6884811	4.5053496	30
1976	1.791	23.302401	.1785	104.7664	.5827741	3.1485565	-1.7231667	4.6517329	31
1977	1.8049999	20.9296	.24420001	107.4791	.59056056	3.0411644	-1.4097677	4.6772966	31
1978	2.063	21.855301	.3335	108.9188	.72416121	3.0844436	-1.0981125	4.6906028	31
1979	1.984	23.4757	.31810001	111.5591	.68511498	3.1559658	-1.1453894	4.7145543	31
1980	1.558	24.919901	.27450001	100	.44340292	3.2156668	-1.292804	4.6051702	31
1981	1.285	28.0984	.2482	99.3965	.25075868	3.3357127	-1.3935204	4.5991168	31
1982	1.1109999	27.698299	.1758	99.293098	.10526046	3.3213711	-1.7384083	4.5980759	31
1977	1.771	21.188101	.1732	96.050003	.57154435	3.0534399	-1.7533083	4.5648689	32
1978	1.788	21.0368	.17290001	100.6	.58109766	3.0462732	-1.7550418	4.6111522	32
1979	1.8609999	21.011101	.1613	102.3667	.62111396	3.0450509	-1.8244892	4.6285615	32
1980	1.864	21.079399	.14579999	100.9167	.62272471	3.0482962	-1.9255195	4.6142955	32
1981	1.664	18.894899	.1178	96.441704	.50922436	2.9388921	-2.138767	4.5689387	32
1982	1.511	20.6339	.1035	96.408302	.4127717	3.0269353	-2.2681837	4.5685925	32
1983	1.4960001	23.106501	.097999997	104.2083	.40279493	3.1401141	-2.3227878	4.6463919	32
1976	13.329	24.375299	1.887	93.599998	2.5899422	3.1935704	.63498825	4.5390306	33
1977	13.509	23.4904	1.8247	97.800003	2.6033561	3.1565919	.60141557	4.5829248	33
1978	13.452	23.415501	1.9656	102.6	2.5991278	3.1533983	.67579752	4.6308379	33
1979	11.751	22.737	1.8738	102.2	2.4639385	3.1239936	.62796849	4.6269317	33
1980	10.706	24.2665	1.6481	100	2.3708043	3.1890969	.49962312	4.6051702	33
1981	8.8210001	31.679001	1.342	93.900002	2.1771352	3.4556541	.29416105	4.5422306	33
1982	6.283	25.0406	1.0611	98.199997	1.8378476	3.2204986	.059306111	4.5870061	33
1977	1.215	15.1847	.1112	95.699997	.19474411	2.7202883	-2.196425	4.5612183	34
1978	1.306	15.1559	.1202	100.2	.26696903	2.71839	-2.1185982	4.6071682	34
1979	1.391	16.907	.1244	102.4	.33002293	2.8277278	-2.0842531	4.6288867	34
1980	1.4069999	16.7456	.1321	101.1	.34145975	2.8181355	-2.0241961	4.6161103	34
1981	1.156	16.7556	.111	96.949997	.14496578	2.8187325	-2.198225	4.5741954	34
1982	1.194	17.184999	.0977	96.050003	.17730902	2.8440368	-2.3258538	4.5648689	34
1983	1.351	17.8622	.095600002	103.35	.30084503	2.8826869	-2.3475823	4.6381211	34
1977	5.3730001	25.722799	1.8317	94.650002	1.6813865	3.2473776	.60524446	4.5501857	35
1978	5.8649998	24.8794	2.109	99	1.7690024	3.2140403	.74621391	4.59512	35
1979	6.066	28.149099	2.2151999	102.5	1.8026994	3.3375154	.79534268	4.6298628	35
1980	6.724	28.7078	2.2333	101.65	1.9056832	3.3571689	.80348033	4.6215358	35
1981	14.135	29.0655	4.3327999	98.474998	2.648654	3.3695519	1.4662139	4.5898027	35
1982	12.662	30.8473	4.4295001	94.974998	2.5386055	3.4290493	1.4882867	4.5536137	35
1983	12.201	32.295799	4.5581999	100.775	2.501518	3.4749372	1.5169278	4.6128902	35
1976	.47099999	24.003099	.1125	93.599998	-.7528972	3.1781831	-2.1848021	4.5390306	36
1977	.47799999	23.121599	.1313	97.800003	-.73814458	3.1407671	-2.0302706	4.5829248	36
1978	.442	23.696699	.14659999	102.6	-.81644541	3.1653357	-1.9200475	4.6308379	36
1979	.45100001	23.3783	.17399999	102.2	-.79628795	3.1518083	-1.7487	4.6269317	36
1980	.41100001	23.3951	.1927	100	-.889162	3.1525266	-1.6466208	4.6051702	36
1981	.38600001	23.880301	.17120001	93.900002	-.95191789	3.173054	-1.7649227	4.5422306	36
1982	.36000001	22.9678	.1538	98.199997	-1.0216511	3.1340933	-1.8721023	4.5870061	36
1977	14.4	32.2197	1.6371	116.225	2.6672282	3.472578	.49292636	4.755528	37
1978	14.719	31.0016	1.5893	114.975	2.6891391	3.4340389	.4632937	4.7447147	37
1979	14.437	32.014599	1.748	111.825	2.6697943	3.466192	.55847228	4.7169352	37
1980	13.436	29.891199	1.7775	106.675	2.5979376	3.3975642	.57520789	4.6697869	37
1981	11.697	30.1672	2.1308	97.300003	2.4593325	3.4067552	.7564975	4.5777988	37
1982	10.04	32.046398	2.2534001	89.525002	2.3065772	3.4671848	.81244022	4.4945178	37
1983	9.0869999	36.2481	2.1303999	89.599998	2.2068448	3.5903869	.75630975	4.4953551	37
1976	7.4580002	26.411501	2.0862	106.1747	2.0092874	3.2737997	.73534423	4.6650858	38
1977	7.8800001	22.8421	2.0624001	108.9675	2.064328	3.1286054	.7238704	4.6910496	38
1978	8.2550001	22.410601	2.2518001	107.8624	2.1108191	3.109534	.81172991	4.6808562	38
1979	8.1619997	25.463699	2.3903999	104.5668	2.0994892	3.2372539	.87146068	4.649826	38
1980	7.4520001	27.408899	2.0258999	100	2.0084825	3.3108678	.70601398	4.6051702	38
1981	5.9330001	27.7596	1.39	92.742996	1.78053	3.3235817	.32930374	4.5298324	38
1982	5.0380001	27.7857	1.3926001	90.038597	1.6170092	3.3245215	.33117256	4.5002384	38
1977	1.484	31.710199	.23370001	116.225	.39474112	3.4566383	-1.453717	4.755528	39
1978	1.551	26.575199	.29390001	114.975	.43889987	3.2799785	-1.2245157	4.7447147	39
1979	1.556	25.7082	.3448	111.825	.44211844	3.24681	-1.0647907	4.7169352	39
1980	1.625	27.4095	.3461	106.675	.48550782	3.3108897	-1.0610275	4.6697869	39
1981	1.4069999	27.805201	.29980001	97.300003	.34145975	3.325223	-1.2046397	4.5777988	39
1982	.81400001	27.4953	.2066	89.525002	-.2057949	3.3140152	-1.5769707	4.4945178	39
1983	.699	29.118299	.1742	89.599998	-.35810453	3.3713667	-1.7475512	4.4953551	39
1976	13.163	26.122801	1.6686	106.5556	2.57741	3.2628086	.51198494	4.6686668	40
1977	12.894	23.8501	1.6615	108.2693	2.556762	3.1717885	.50772077	4.6846218	40
1978	12.169	23.3762	1.6321	108.1387	2.4988916	3.1517184	.48986751	4.6834145	40
1979	12.38	24.396099	1.6012	105.3907	2.5160823	3.1944232	.47075334	4.6576743	40
1980	12.662	27.2358	1.9253	101.1417	2.5386055	3.3045323	.65508181	4.6165223	40
1981	12.736	28.7736	1.8217	94.557297	2.5444326	3.3594582	.59977013	4.5492058	40
1982	12.195	28.9251	1.6871001	90.714699	2.5010259	3.3647099	.52301109	4.5077195	40
1977	12.429	28.0721	1.39	116.225	2.5200324	3.3347762	.32930374	4.755528	41
1978	14.234	25.745701	1.5624	114.975	2.6556334	3.2482677	.44622308	4.7447147	41
1979	14.737	25.4566	1.9237	111.825	2.6903613	3.236975	.65425038	4.7169352	41
1980	14.829	26.225	2.2251	106.675	2.6965847	3.2667131	.79980189	4.6697869	41
1981	14.911	26.935499	2.2781999	97.300003	2.7020993	3.2934451	.8233856	4.5777988	41
1982	13.824	27.965599	2.2105999	89.525002	2.6264062	3.3309751	.79326391	4.4945178	41
1983	13.126	29.791401	2.1630001	89.599998	2.574595	3.3942199	.77149618	4.4953551	41
1976	1.228	24.006001	.2832	106.1747	.20538686	3.1783037	-1.2616019	4.6650858	42
1977	1.8049999	23.360201	.29260001	108.9675	.59056056	3.1510336	-1.2289487	4.6910496	42
1978	1.723	21.224199	.30019999	107.8624	.54406697	3.0551419	-1.2033064	4.6808562	42
1979	1.779	22.4842	.32690001	104.5668	.57605141	3.1128128	-1.118101	4.649826	42
1980	1.314	24.014999	.26980001	100	.27307594	3.1786785	-1.3100743	4.6051702	42
1981	.699	22.7356	.1839	92.742996	-.35810453	3.1239319	-1.6933632	4.5298324	42
1982	.60600001	24.7679	.1295	90.038597	-.50087529	3.2095485	-2.0440743	4.5002384	42
