store	chain	co_owned	state	southj	centralj	northj	pa1	pa2	shore	ncalls	empft	emppt	nmgrs	wage_st	inctime	firstinc	meals	open	hoursopen	pricesoda	pricefry	priceentree	nregisters	nregisters11	time
48	1	0	0	0	0	0	1	0	0	0	6	20	3	4.25	13	.2	3	7	14	1.01	.83999997	.63	4	3	0
50	2	0	0	0	0	0	1	0	0	0	6	10	3	4.5	13		2	10	12	1.01	.88999999	3.5	4	3	0
51	2	0	0	0	0	0	1	0	0	1	0	15	3	4.25		.15000001	2	10	13	1.01	.88999999	2.3499999	4	3	0
57	4	1	0	0	0	0	1	0	0	0	30	10	3	4.6700001	26	.07	2	10	12	.87	.79000002	.89999998	2	2	0
58	4	1	0	0	0	0	1	0	0	2	8	25	3	4.75	26	.15000001	2	10	12	.87	.76999998	1.01	2	2	0
59	4	0	0	0	0	0	1	0	0	3	0	15	3	4.25	26	.1	1	7.5	10.5	.91000003	.88999999	.81	2	2	0
60	4	0	0	0	0	0	1	0	0	0	10	20	5	4.25	4	.1	1	10.5	11.5	.94	.74000001	.86000001	2	2	0
408	2	1	0	0	0	0	0	1	0	0	2	12	3	4.75	52	.12	3	11	10	.94999999	.74000001	2.3299999	4	3	0
430	1	0	0	0	0	0	1	0	0	0	20	25	4	4.25	13	.15000001	2	7	15	.94999999	.75	.80000001	3	3	0
432	1	0	0	0	0	0	1	0	0	0	20	55	5	4.5	17	.15000001	2	7	16	.94	.74000001	.79000002	4	3	0
433	1	0	0	0	0	0	1	0	0	0	10	30	4	4.25	13	.15000001	2	7	16	.94999999	.73000002	.80000001	3	3	0
434	1	0	0	0	0	0	1	0	0	2	15	50	5	4.25	6	.25	2	7	16	.94999999	.75		3	3	0
435	1	0	0	0	0	0	1	0	0	1	1	37.5	3	4.25	4	.17	2	6.5	15.5	.94999999	.75	.79000002	3	3	0
438	2	0	0	0	0	0	1	0	0	2	0	9	3	4.25	52	.07	2	11	8	1.01	.83999997	2.4300001	2	1	0
440	4	0	0	0	0	0	1	0	0	2	0	25	3	4.25	19	.15000001	2	10.5	11.5	.88999999	.79000002	2.01	2	2	0
441	4	0	0	0	0	0	1	0	0	2	30	10	3	4.25	4	.25	2	10.5	11.5	.88999999	.76999998	.83999997	2	2	0
443	4	0	0	0	0	0	1	0	0	0	4	19	4	4.25	4	.25	2	10.5	11.5	.88999999	.79000002	1.8	2	2	0
444	4	0	0	0	0	0	1	0	0	2	12	20	3	4.25	19	.37	2	10.5	12.5	.88999999	.80000001	.83999997	2	2	0
446	1	0	0	0	0	0	0	1	0	2			3	4.5	4	.25	2	6	18	1.03	.83999997	.94			0
448	1	0	0	0	0	0	0	1	0	0	8	18	4	4.75	4	.25	2	6	18	.97000003	.83999997	.91000003	3	3	0
449	1	0	0	0	0	0	0	1	0	2	0	25	3	4.8699999	3.5		2	6	18				4	4	0
450	1	0	0	0	0	0	0	1	0	0	2	21	3	4.75	13	.15000001	2	6.5	16.5	.97000003	.81999999	.83999997	3	3	0
454	2	1	0	0	0	0	0	1	0	0	1	9	3	4.5	4	.15000001	2	11	10	.94	.73000002	2.53	4	3	0
459	3	1	0	0	0	0	0	1	0	0	5	20	3	4.25	13	.37	2	6	16	1.05	.89999998	.94	5		0
466	4	0	0	0	0	0	0	1	0	2	8	17.5	4	4.75	17	.30000001	3	10.5	11.5	.94	.80000001	.94	2	2	0
471	1	0	0	0	0	0	0	1	0	2	25	20	4	4.25	26		2	6	18	.97000003	.83999997	.91000003	2	2	0
472	1	0	0	0	0	0	0	1	0	2	37.5	2	3	4.25	52		2	6.5	16.5	.97000003	1.05	.91000003	3	3	0
473	1	0	0	0	0	0	0	1	0	0	5	27	4	4.75	26	.5	2	6	17	.97000003	.86000001	.88999999	3	2	0
475	1	0	0	0	0	0	0	1	0	1	25	8	3	4.5			1	7	15	1.02	.88999999	.89999998	3	3	0
476	1	0	0	0	0	0	1	0	0	2	6	30	3	4.25	52	.12	2	6	18	.94999999	.79000002	.91000003	3	3	0
477	1	0	0	0	0	0	0	1	0	1	8	28	4	4.25	39	.12	2	6.5	16.5	.97000003	.77999997	.99000001	3	3	0
478	1	0	0	0	0	0	1	0	0	0	32	25	4	4.5	13	.22	2	6	19	.97000003	.86000001	.91000003	3	3	0
485	2	1	0	0	0	0	0	1	0	2	1	9	3	4.5	26	.37	2	11	10	.94999999	.74000001	2.3299999	4	3	0
491	3	0	0	0	0	0	0	1	0	0	4	25	2	4.5	13	.37	2	8.5	13	1.05	.91000003	.94999999	3	2	0
492	3	1	0	0	0	0	0	1	0	0	2	16	3	4.5	13	.25	2	9	12.5	1.11	1.05	.94	2	1	0
497	4	1	0	0	0	0	0	1	0	0	12	15	3	4.5	13	.15000001	2	10	12	.91000003	.83999997	.83999997	2	2	0
498	4	1	0	0	0	0	0	1	0	2	20	10	3	4.75	26	.1	2	10	12	.91000003	.83999997	.85000002	2	2	0
501	1	0	0	0	0	0	0	1	0	0	14	15	3	4.25	4	.37	2	6.5	16.5	.83999997	.83999997	.94	3	3	0
503	1	0	0	0	0	0	0	1	0	2	7.5	14	4	4.75		.12	2	6.5	16.5	.97000003	.83999997	.91000003	3	3	0
510	3	1	0	0	0	0	0	1	0	0	7	25	4	4.25	26	.25	2	6	16	1.05	.91000003	1.05	3	3	0
511	3	1	0	0	0	0	0	1	0	0	4	16	3	4.75	9	.15000001	2	6	16.5	1.01	.91000003	1.05	4	4	0
514	3	0	0	0	0	0	0	1	0	0	5	20	3	4.5	26	.25	2	6	16	.94	.89999998	.94	5	3	0
516	3	1	0	0	0	0	0	1	0	2	6	22.5	3	4.75	13	.12	3	6	16	1.05	.91000003	1.05	4	3	0
521	1	0	0	0	0	0	1	0	0	0	2.5	20	3	4.25	13		2	6.5	16.5			.51999998	4	4	0
522	1	0	0	0	0	0	1	0	0	2	2	30	4	4.3499999	26	.2	3	7	16	1	.87	.94	3	3	0
113	1	0	1	0	1	0	0	0	0	0	0	22	4				2	7	16	1.0599999	.94999999	1	4		0
123	1	0	1	0	1	0	0	0	0	0	0	20	5		13		2	7	14.5	1.0599999	.94999999	1.01	2	1	0
135	3	0	1	0	1	0	0	0	0	0	10	20	4		26		0	9	12.5				5	3	0
138	3	1	1	0	0	1	0	0	0	0	4.5	25.5	2				2	10	11.5	1.12	1.0700001	1.0599999	6		0
153	1	0	1	0	0	1	0	0	0	0	0	25	9		52	.15000001	1	7	17	1	.94999999	.88999999	4	3	0
181	2	0	1	0	0	1	0	0	0	0	0	13	3				1	10.5	11	.91000003	.79000002	2.3399999	3	2	0
191	4	0	1	0	0	1	0	0	0	0	30	20	4				2	10.5	12	1.0599999	.94999999	1.0599999		1	0
231	1	0	1	0	0	1	0	0	0	1		10	3		26		2	7	16	1.02	1.02	.94999999	2	2	0
236	1	0	1	0	0	1	0	0	0	3	0	34	4		17		1	7	17	1.1799999	1.02	1.0599999	4	3	0
254	4	0	1	1	0	0	0	0	1	0	20	10	3		16		1	7	16	1.0599999	.86000001	1.0599999	2	2	0
255	4	0	1	1	0	0	0	0	0	2	0	14	3		52	.27000001	1	7	14	1.01	.79000002	.85000002	2	2	0
294	1	0	1	0	0	1	0	0	0	3	0	35	3		26	.2	2	7	16	1.0599999	.94999999	.94999999	3	3	0
306	3	1	1	0	0	1	0	0	0	0	15	15	3		17		2	6	17	1.02		1.0599999	4	4	0
311	4	0	1	0	0	1	0	0	0	2	0	30	4		26	.31999999	2	10.5	11.5	.91000003	.91000003	1.0599999	2	2	0
315	1	0	1	1	0	0	0	0	0	0	5	19	2		4	.25	3	7	16	1	.85000002	.88	3	2	0
335	1	1	1	1	0	0	0	0	0	0	9	10	3		13	.17	1	6	17	1.0599999	.92000002	.92000002	5	2	0
372	1	1	1	0	0	1	0	0	0	2	0	45	5		26	.15000001	3	6.5	19	1.1	.94999999	1.1	4		0
6	3	1	1	0	1	0	0	0	0	2	2	2	2	5	13	.25	1	11	7	1.2	1.17	2.3499999	4	2	0
14	2	0	1	0	1	0	0	0	0	0	10	8	2	5.1199999	6	.25	3	11	11	1.0599999	.85000002	2.49	6	5	0
26	1	0	1	0	0	1	0	0	0	3	30	15	4	5.5599999	6		2	7	16	1.0599999	.91000003	.98000002	4	2	0
27	2	1	1	0	1	0	0	0	0	2	4	10	4	5		.37	1	11	10	1.0599999	.85000002	2.3399999	4	3	0
30	2	0	1	0	0	1	0	0	0	4	6	4	2	5	13	.37	1	11	10	1.0599999	1.0599999	2.53	2	2	0
31	2	0	1	0	1	0	0	0	0	2	4	16	3	5.25	13	.15000001	2	11	11	1.03	1.0599999	2.5599999	4	3	0
33	3	0	1	0	0	1	0	0	0	0	12	20	4	5	26	.25	2	6	17	1.02	1.0700001	.94999999	5	4	0
36	4	0	1	0	1	0	0	0	0	0	8	12	4	5.5	30	.17	2	10.5	13	1.02	.91000003	2.5699999	2	2	0
77	3	0	1	0	0	1	0	0	0	0	6	50	4	5	4	.15000001	2	6	19	1.1799999	1.0700001	1.17	6	5	0
78	3	1	1	0	0	1	0	0	0	0	13	10	3	5	26	.15000001	2	6	17	1.12	1.02	1.02	4	2	0
81	4	0	1	0	0	1	0	0	0	4	25	13	3	5	26	.1	2	10	12	1.0599999	.98000002	1.0599999	2	2	0
82	4	0	1	0	0	1	0	0	0	6	8	14.5	3	5	13	.37	2	10.5	13.5	1.0599999	1.03	1.0599999	2	2	0
83	4	0	1	0	0	1	0	0	0	2	12.5	20	2	5	13	.25	2	10.5	13.5	1.0599999	.98000002	2.1300001	2	2	0
85	1	0	1	0	1	0	0	0	1	3	7	20	3	5.5	26	.51999998	1	9	12.5	1.12	1.02	1.02	5	4	0
89	1	1	1	0	1	0	0	0	0	2	10	6	3	5	13	.17	2	7	16	1.09	.94999999	1.04	3	2	0
94	2	0	1	0	1	0	0	0	0	2	0	25	5	5	26	.25	3	11	10	1.0599999	.80000001	2.5599999			0
103	4	0	1	0	0	1	0	0	0	2	12.5	10	3	5	26	.27000001	2	10.5	11.5	.91000003	.85000002	.94999999	2	2	0
112	4	0	1	0	0	1	0	0	0	0	4	26	3	5	13	.2	2	10	14	1.0599999	.98000002	1.0599999	2	2	0
128	2	1	1	0	1	0	0	0	0	3	6.5	7.5	2	5		.15000001	2	11	11	1.0599999	.85000002	2.3399999	4	2	0
129	3	0	1	0	1	0	0	0	0	3	20	20	3	5.25	26	.050000001	2	6	16	1.1	1	.74000001	6	4	0
131	3	0	1	0	1	0	0	0	0	2	15	25	4	5.5	4	.37	2	6	17	1.0599999	1.0599999	1.0599999	5	2	0
139	4	0	1	0	1	0	0	0	0	0			2	5.5			2	10.5	12.5	.94999999	.94999999	1.0599999	2	1	0
143	4	0	1	0	1	0	0	0	0	3	0	30	3	5.3699999	26	.25	2	10.5	11.5	.94999999	.94999999	1.0599999	2	2	0
144	4	0	1	0	1	0	0	0	0	2	10	30	3	5.0500002	26	.15000001	2	10.5	12.5	.91000003	.85000002	1.0599999	2	2	0
145	1	0	1	0	0	1	0	0	0	0	5	17	3	5	13	.15000001	2	7	16	1.0599999	.94999999	.94999999	3	2	0
147	1	0	1	0	0	1	0	0	0	0	8.5	6.5	3	5.1199999	8	.25	2	7	14	1.12	.88999999	.94999999	2	2	0
148	1	0	1	0	0	1	0	0	0	4	4.5	30	4	5.25	26	.17	2	7	17	1.0599999	.94999999	.94999999	3	2	0
151	1	0	1	0	0	1	0	0	0	0	1	12	3	5	12	.1	2	7	15	1.09	.81	1.04	3	3	0
152	1	0	1	0	0	1	0	0	0	0	35	15	4	5.1199999	9	.67000002	1	7	15	1.17	.94999999	1.02	3	2	0
157	2	0	1	0	0	1	0	0	0	0	10	5	3	5	26	.25	1	10.5	12	.91000003	.85000002	2.3399999	3	3	0
161	3	1	1	0	0	1	0	0	0	0	8	25	4	5	19	.15000001	2	6	17	1.12	1.02	1.0599999	7	3	0
163	3	1	1	0	0	1	0	0	0	0	12	18	3	5	13	.15000001	2	6	16.5	1.2	1.0700001	1.0599999	3	3	0
164	3	1	1	0	0	1	0	0	0	0	4	30	4	5	26	.1	2	5	19	1.12	1.02	1.0599999	5	3	0
165	4	0	1	0	0	1	0	0	0	1	20	10	3	5	15	.27000001	2	10.5	12.5	1.0599999	.88999999	1.0599999	3	2	0
169	1	1	1	0	0	1	0	0	0	0	12	33	4	5	13	.25	2	7	16	1.1	.94	1.04	3	3	0
170	1	1	1	0	0	1	0	0	0	1	10	20	3	5	52	.51999998	2	7	16	1.1	1.02	1.08	3	2	0
187	3	0	1	0	0	1	0	0	1	0	4	20	3	5.6199999	26	.51999998	2	7	15	1.12	1.09	1.0599999	4	3	0
190	3	1	1	0	0	1	0	0	0	0	5	42	4	5	26	.12	2	6	16	1.02	1.0700001	1.0599999	5		0
196	4	1	1	0	0	1	0	0	0	0	8	19	4	5	26	.2	2	10.5	11.5	.94999999	.85000002	1.0599999	2	2	0
197	1	0	1	0	0	1	0	0	0	0	23	10	4	5	26	.25	2	7	17	.99000001	.88999999	.88999999	3	2	0
234	1	0	1	0	0	1	0	0	0	2	0	10	3	5	26		2	7	16	1.12		.49000001	2	2	0
240	3	1	1	0	0	1	0	0	0	0	15	35	3	5.0999999	26	.25	2	6	17	1.1799999	1.02	1.0599999	6	4	0
241	3	0	1	0	0	1	0	0	0	2	15	25	4	5	13	.37	2	7	16	1.12	1.02	1.0599999	5	5	0
242	3	1	1	0	0	1	0	0	0	0	25	10	3	5.25	13	.25	2	6	17	1.1	1.02	1.0599999	5	4	0
245	3	0	1	0	0	1	0	0	0	3	15	8	3	5.5			1	8.5	13.5	1.2	1.02	1.02	4	2	0
259	1	0	1	1	0	0	0	0	0	0	13	12	4	5	4	.25	2	7.5	14.5	1.02	.85000002	.85000002	3	3	0
268	1	1	1	1	0	0	0	0	0	1	10	18	4	5	26	.17	2	7	15	1.02	.85000002	.85000002	5	4	0
271	2	1	1	1	0	0	0	0	0	3	0	13	2	5	13	.1	2	11	11	1.02	.79000002	2.3399999	4	2	0
272	2	1	1	1	0	0	0	0	0	4	4	11	3	5.0500002	4	.2	1	11	11	.94999999	.74000001	2.3399999	4	2	0
274	2	1	1	1	0	0	0	0	0	0	0	15	2	5.5	26	.12	2	11	10	.91000003	.74000001	2.3399999	4	3	0
276	2	1	1	1	0	0	0	0	0	3	5	10	3	5	26	.25	2	11	10.5	.94999999	.74000001	2.1900001	4	3	0
296	1	1	1	0	0	1	0	0	0	0	5	16	4	5.3000002	26	.25	2	7	16	1.0599999	.94999999	1.01	3	3	0
299	2	1	1	0	0	1	0	0	0	0	3	8	2	5	26		1	10.5	11.5	1.0599999	.85000002	2.3399999	3	2	0
301	2	1	1	0	0	1	0	0	0	4	8	12	5	5	11	.36000001	3	11	10.5	1.0599999	.85000002	2.3399999	3	1	0
320	2	0	1	1	0	0	0	0	1	0	5	9	2	5	13	.12	2	11	12	1.12	.80000001	2.45	4	4	0
321	2	0	1	1	0	0	0	0	1	0	3	14	3	5		.25	2	10.5	12.5	1.12	.85000002	2.45	4	2	0
324	3	0	1	1	0	0	0	0	0	2	20	46	5	5.25	26	.2	2	0	24	1.1799999	1.0599999		5	2	0
326	3	1	1	1	0	0	0	0	1	3	18	45	5	5.1500001	11	.15000001	2	0	24	1.26	.99000001		4	3	0
330	4	0	1	1	0	0	0	0	1	0	4	16	3	5.4200001	13	.12	1	10.5	15.5	1.01	.86000001	.94999999	2	2	0
334	1	0	1	1	0	0	0	0	0	0	10	10	3	5	4	.17	3	9	12.5	.91000003	.91000003	.91000003	3	3	0
349	3	1	1	1	0	0	0	0	0	1	2.5	27	5	5	6	.15000001	2	6	16	1.12	.91000003	.94999999	3	3	0
354	4	0	1	1	0	0	0	0	0	3	14	7	3	5.0599999	4	.25	1	10.5	10.5	.94999999	.86000001	.94999999	2	2	0
356	4	0	1	1	0	0	0	0	0	3	11.5	10	4	5.0500002	13		1	10.5	11.5	.94999999	.80000001	1.0599999	2	2	0
357	4	0	1	0	0	1	0	0	0	1	4.5	20	3	5	16	.2	1	10.5	11.5	.94999999	.86000001	.94999999	2	2	0
371	1	0	1	0	0	1	0	0	0	0	12	23	4	5	13	.15000001	2	7	16	1.0599999	1.02	.94999999	3	3	0
373	1	1	1	0	0	1	0	0	0	0	14	12	4	5	4	.25	2	6.5	15.5	1.01	.94999999	1.03	6	3	0
375	1	0	1	0	0	1	0	0	0	3	25	10	4	5.25	26	.25	1	7	15	1.02	.80000001		4	2	0
378	1	1	1	0	0	1	0	0	0	4	10	8	4	5	52	.1	2	6.5	18.5	1.1	.95999998	1.1	5	5	0
381	1	0	1	0	0	1	0	0	0	0	10	20	4	5	13	.5	2	6.5	16.5	1.27	1.17	1.1	4	2	0
403	3	1	1	0	0	1	0	0	0	2	13	31		5.0500002	26	.15000001	2	6	18	1.09	1.12	1.0599999	5	4	0
406	4	1	1	0	0	1	0	0	0	0	12	35	4	5		.31999999	1	10.5	11.5	1.02		2.1400001	2	2	0
407	4	1	1	0	0	1	0	0	0	2	5	10	2	5.75	26	.15000001	2	11	10.5	1.17	1.17	1.38	1	1	0
409	1	0	1	0	0	1	0	0	0	0	3	60	2	5	39		1	7	15	1.1900001	.87	.94999999	3	3	0
1	1	0	1	0	1	0	0	0	0	0	16	30	4	4.5		.25	3	7	16	.93000001	.82999998	.85000002	4	3	0
2	1	0	1	0	1	0	0	0	0	0	10	6	3	4.75	26	.5	1	7	14	1.0599999	.91000003	.95999998	2	2	0
3	2	0	1	0	1	0	0	0	0	3	6	13	3	4.25	13	.25	2	11	10	1.0599999	.94999999	3.0899999	5	3	0
4	3	0	1	0	1	0	0	0	0	0	10	12	3	4.75	4	.25	2	9	12.5	1.0599999	1	2.1300001	8	4	0
5	3	0	1	0	1	0	0	0	0	0	5	30	4	4.5	13	.17	1	6	17	.94999999		2.1300001	5	4	0
8	4	0	1	0	1	0	0	0	0	0		25	4	4.8000002		.15000001	1	10.5	12	1.02	.91000003	2.28	2	1	0
9	1	0	1	0	1	0	0	0	0	2	12	40	4	4.3699999	26	.15000001	2	7	16	1.04	.67000002	.85000002	4	4	0
10	1	0	1	0	1	0	0	0	0	0	15	20	4	4.25	39	.17	2	7	16	1.04	.85000002	.85000002	3	3	0
11	1	0	1	0	1	0	0	0	0	2	10	30	4	4.25	26	.1	2	7	16	1.09	.88999999	.91000003	3	3	0
12	1	0	1	0	1	0	0	0	0	0	6.5	23.5	3	4.3699999	9	.1	2	7	16	1.05	.79000002	.91000003	3	3	0
13	2	0	1	0	1	0	0	0	0	0	0	25	3	4.5	7	.25	2	11	10	1.0599999	.94999999	2.6600001	5	4	0
15	3	0	1	0	1	0	0	0	0	3	3	25	4	4.5999999	9	.15000001	2	6	17	1.02	.98000002	.94999999	5	4	0
16	3	0	1	0	1	0	0	0	0	0	6	22	4	4.5	13	.25	2	6	17	1	1		5	5	0
17	3	0	1	0	1	0	0	0	0	0	0	20	4	4.3699999	13	.25	2	6	17	1.0599999	1	2.02	6	5	0
18	3	0	1	0	1	0	0	0	0	2	15	25	3	4.25	13		2	6	17				4	4	0
19	1	0	1	1	0	0	0	0	0	3	4	31	4	4.25	4	.25	2	6	16	1.05	.91000003	.93000001	3	3	0
21	2	0	1	1	0	0	0	0	0	0	5	12	3	4.4499998	6	.1	2	10.5	10.5	1.0599999	.80000001	2.1300001	3	3	0
22	3	0	1	1	0	0	0	0	0	2	3	15	4	4.3499999	26	.12	2	7	16	1.0599999	.83999997	.94999999	4	1	0
23	1	0	1	0	0	1	0	0	0	2	0	25	3	4.5	26	.12	2	7	16	1.0599999	.94999999	.94999999	3	2	0
24	1	0	1	0	1	0	0	0	0	2	15	15	4	4.75	13	.25	2	7	16	1.0599999	.94999999	1.01	4	3	0
28	2	0	1	0	0	1	0	0	0	6	0	14	1	4.5		.25	2	11	10	1.0599999	1.17	2.5599999	2	1	0
29	2	0	1	0	0	1	0	0	0	3	0	7	2	4.5	4	.25	2	11	11	1.0599999	1.01	2.5599999	3	2	0
32	3	0	1	0	0	1	0	0	0	0	10	20.5	3	4.5	26	.25	2	10.5	11.5	1.12	1.02	1.0599999	4	3	0
34	3	1	1	0	0	1	0	0	0	0	5	15	3	4.9499998	26		2	10.5	11.5	1.12	1.02	1.0599999	5	3	0
35	4	0	1	0	0	1	0	0	0	2	25	6.5	4	4.5	9	.25	2	10.5	11.5	.95999998	.94999999	2.1300001	2	2	0
38	1	0	1	0	1	0	0	0	0	0	15	20	5	4.25	17	.15000001	2	6	17	1.05	.94999999	.98000002	3	2	0
63	1	1	1	0	0	1	0	0	0	1	26	6		4.25	26		2	6	18	1.1	.97000003	1.17	4	3	0
64	1	0	1	0	0	1	0	0	0	1	20	15	3	4.5	26	.2	3	7	16	1.0599999	.94999999	.94999999	3	2	0
65	1	0	1	0	0	1	0	0	0	5	0	20	4	4.8000002	52	.25	2	6.5	15.5	1.0599999	.85000002	1.11	3	3	0
66	1	0	1	0	0	1	0	0	0	0	15	18	3	4.25	26	.15000001	2	7	17	1.0599999	.94999999	.94999999	3	2	0
67	1	0	1	0	0	1	0	0	0	0	5	15	6	4.5	13	.25	1	8	13.5	1.17	1.0599999	1.17	3	2	0
68	1	0	1	0	0	1	0	0	0	1	30	10	3	4.25	14	.050000001	3	7	17	1.0700001	1.02	1.02	3	3	0
69	1	0	1	0	0	1	0	0	0	0	0	27	3	4.25	13	.22	2	7	18	1.17	.94999999	.94999999	4	2	0
70	1	0	1	0	0	1	0	0	0	0	35	20	5	4.5	13	.27000001	1	7	16	1.0599999	.94999999	1.02	3	3	0
71	1	0	1	0	0	1	0	0	0	1	0	35	3	4.75	13	.25	3	7	17	1.0599999	.94999999	.94999999	3	2	0
73	2	0	1	0	0	1	0	0	0	1	0	7	3	4.25		.75	3	11	12	1.0599999	1.0599999	2.45	3	2	0
75	2	0	1	0	0	1	0	0	0	0	3	15	3	4.25	4	.25	2	11	11	1.17	1.27	2.77	3	3	0
76	3	1	1	0	0	1	0	0	0	0	8	32	4	4.25	26	.2	2	6	17	1.12	1.02	1.02	6	3	0
79	3	1	1	0	0	1	0	0	0	4	6	25	3	4.5	26	.15000001	2	6	17	1.17	1.02	1.0599999	5	4	0
80	4	0	1	0	0	1	0	0	0	1	4.5	20		4.25	26	.25	2	10.5	11.5	1.0599999	.98000002	1.0599999	2	2	0
84	1	0	1	0	1	0	0	0	0	3	4	30	5	4.5	26	.15000001	2	7	16	1.04	.85000002	.91000003	4	2	0
86	1	0	1	0	1	0	0	0	0	1	11	11	4	4.25	13	.25	3	7	15	1.0599999	.94	1.1	3	3	0
87	1	0	1	0	1	0	0	0	1	0	0	15		4.5	26		2	7	15	1.0599999	.86000001	1.02	3	3	0
88	1	0	1	1	0	0	0	0	0	0	3	35	3	4.25			3	7	15	1.0599999	.87	.91000003	5	5	0
91	1	1	1	0	1	0	0	0	1	2	8	22	4	4.25	8	.15000001	2	7	17	1.09	.93000001	1.04	3	3	0
92	1	1	1	0	1	0	0	0	1	0	4	18	4	4.25	13	.75	2	7	15	1.09	.94999999	1.03	3	3	0
93	1	1	1	0	0	1	0	0	0	0	2.5	30	3	4.25	52	.15000001	2	7	16			.95999998			0
95	2	0	1	0	1	0	0	0	0	1	18	3	4	4.25	26	.27000001	1	11	10	1.0599999	.80000001	2.5599999	4	3	0
96	2	0	1	0	0	1	0	0	0	2	0	15	2	4.25	26	.12	2	11.5	10	1.0599999	1.01	2.6600001	3	2	0
